page|56
项        目|附注|2019 年 12 月 31 日|2019 年 1 月 1 日|2018 年 12 月 31 日
流动资产：||||
货币资金|五、（一）|1,213,527,351.06|971,482,703.57|971,482,703.57
交易性金融资产|五、（二）|736,413,541.48|165,342,905.50|
以公允价值计量且其变动计入当期损益的金融资产||||4,388,184.96
衍生金融资产||||
应收票据|五、（三）|101,473,901.24|185,310,403.39|185,310,403.39
应收账款|五、（四）||1,312,636,241.12   1,208,606,975.30|1,212,958,181.34
应收款项融资|五、（五）|25,000,000.00||
预付款项|五、（六）|103,901,653.96|84,898,177.78|84,898,177.78
其他应收款|五、（七）|55,015,595.07|43,992,590.24|44,647,310.78
其中：应收利息||||654,720.54
应收股利||||
存货|五、（八）|709,219,087.70|717,069,290.96|717,069,290.96
持有待售资产|五、（九）|11,217,184.31||
一年内到期的非流动资产||||
其他流动资产|五、（十）|40,279,517.26|22,336,786.91|182,636,786.91
流动资产合计|||4,308,684,073.20   3,399,039,833.65|3,403,391,039.69
非流动资产：||||
债权投资|五、（十一）|50,000.00|50,000.00|
可供出售金融资产||||409,045,998.68
其他债权投资||||
持有至到期投资||||50,000.00
长期应收款|五、（十二）|3,351,343.54|6,585,140.02|6,585,140.02
长期股权投资|五、（十三）|290,214,657.63|269,280,103.96|269,280,103.96
其他权益工具投资|五、（十四）|165,375,938.02|139,555,507.67|
其他非流动金融资产|五、（十五）|484,642,567.63|269,490,491.01|
page|57
投资性房地产||||
固定资产|五、（十六）|746,955,242.53|702,453,264.21|702,453,264.21
在建工程|五、（十七）|320,786,091.86|119,261,448.77|119,261,448.77
生产性生物资产||||
油气资产||||
无形资产|五、（十八）|205,906,759.15|230,381,102.11|230,381,102.11
开发支出||||
商誉|五、（十九）|809,810,665.78|809,810,665.78|809,810,665.78
长期待摊费用|五、（二十）|2,442,166.42|3,828,333.27|3,828,333.27
递延所得税资产|五、（二十一）|78,045,134.02|75,999,424.05|75,346,743.14
其他非流动资产|五、（二十二）|15,919,343.42|21,526,987.46|21,526,987.46
非流动资产合计|||3,123,499,910.00   2,648,222,468.31|2,647,569,787.40
资产总计|||7,432,183,983.20   6,047,262,301.96|6,050,960,827.09
page|58
应付债券||||
其中：优先股||||
永续债||||
长期应付款|五、（三十二）|9,019,239.17||
长期应付职工薪酬|五、（三十三）|49,017,085.70|45,836,364.60|45,836,364.60
预计负债||||
递延收益|五、（三十四）|67,343,339.30|76,931,831.55|76,931,831.55
递延所得税负债|五、（二十一）|84,434,812.88|57,730,869.12|57,730,869.12
其他非流动负债||||
非流动负债合计||720,627,526.93|183,768,083.91|183,768,083.91
负债合计|||3,460,848,126.59   3,083,070,573.84|3,083,070,573.84
股东权益：||||
股本|五、（三十五）|745,837,804.00|653,054,151.00|653,054,151.00
其他权益工具||||
其中：优先股||||
永续债||||
资本公积|五、（三十六）|463,205,862.82|39,506,232.42|39,506,232.42
减：库存股||||
其他综合收益|五、（三十七）|-65,238,054.51|-111,766,715.96|94,946,392.12
专项储备|五、（三十八）|10,327,408.22|7,775,331.21|7,775,331.21
盈余公积|五、（三十九）|292,947,003.70|257,167,904.22|236,866,445.92
未分配利润|五、（四十）||2,362,891,893.85   1,976,271,051.45|1,793,557,926.80
归属于母公司股东权益合计|||3,809,971,918.08   2,822,007,954.34|2,825,706,479.47
少数股东权益||161,363,938.53|142,183,773.78|142,183,773.78
股东权益合计|||3,971,335,856.61   2,964,191,728.12|2,967,890,253.25
负债和股东权益总计|||7,432,183,983.20   6,047,262,301.96|6,050,960,827.09
