page|69
||（除特别注明外，金额单位均为人民币元）|
项 目|附注六|本期金额|上期金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||6,791,224,812.46|5,692,260,113.80
收到的税费返还||314,212,403.55|230,439,189.13
收到其他与经营活动有关的现金|注释49.|242,642,670.64|150,994,097.90
经营活动现金流入小计||7,348,079,886.65|6,073,693,400.83
购买商品、接受劳务支付的现金||3,272,718,352.91|2,822,597,963.58
支付给职工以及为职工支付的现金||1,498,779,284.52|1,476,479,166.74
支付的各项税费||474,567,442.71|494,557,808.70
支付其他与经营活动有关的现金|注释49.|421,067,125.98|452,584,528.46
经营活动现金流出小计||5,667,132,206.12|5,246,219,467.48
经营活动产生的现金流量净额||1,680,947,680.53|827,473,933.35
二、投资活动产生的现金流量：|||
收回投资所收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||34,797,311.28|1,296,399.27
收到其他与投资活动有关的现金|注释49.|27,880,000.00|
投资活动现金流入小计||62,677,311.28|1,296,399.27
购建固定资产、无形资产和其他长期资产支付的现金||775,379,153.60|826,454,311.01
投资支付的现金||47,363,308.19|2,400,000.00
支付其他与投资活动有关的现金|注释49.|34,343,016.22|48,263,760.60
投资活动现金流出小计||857,085,478.01|877,118,071.61
投资活动产生的现金流量净额||-794,408,166.73|-875,821,672.34
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,860,000.00|71,616,438.63
其中：子公司吸收少数股东投资收到的现金||1,860,000.00|71,616,438.63
取得借款收到的现金||1,749,015,621.47|1,613,618,123.29
收到其他与筹资活动有关的现金|注释49.|2,059,612.59|4,207,000.00
筹资活动现金流入小计||1,752,935,234.06|1,689,441,561.92
偿还债务支付的现金||1,875,844,223.13|1,154,099,814.70
分配股利、利润或偿付利息支付的现金||300,040,626.10|312,626,771.73
其中：子公司支付给少数股东的股利、利润||53,602,799.25|76,579,913.20
支付其他与筹资活动有关的现金|注释49.|7,303,258.84|60,500.00
筹资活动现金流出小计||2,183,188,108.07|1,466,787,086.43
筹资活动产生的现金流量净额||-430,252,874.01|222,654,475.49
四、汇率变动对现金及现金等价物的影响||23,025,088.71|11,467,379.96
五、现金及现金等价物净增加额||479,311,728.50|185,774,116.46
加：期初现金及现金等价物余额||905,311,582.26|719,537,465.80
六、期末现金及现金等价物余额||1,384,623,310.76|905,311,582.26
