page|68
|||（除特别注明外，金额单位均为人民币元）
项目|附注六|本期金额|上期金额
一、营业收入|注释34.|7,081,493,747.65|6,879,774,007.07
减：营业成本|注释34.|4,452,337,098.61|4,345,575,960.41
税金及附加|注释35.|65,268,467.44|64,353,734.06
销售费用|注释36.|362,808,591.76|310,383,082.06
管理费用|注释37.|745,591,490.69|736,348,953.84
研发费用|注释38.|350,421,076.53|330,737,917.58
财务费用|注释39.|24,566,450.71|20,240,406.17
其中：利息费用||75,943,761.41|58,765,537.93
利息收入||36,795,486.37|9,488,935.69
加：其他收益|注释40.|85,394,950.73|84,962,878.47
投资收益|注释41.|-10,099,290.08|-13,671,758.22
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资|||
||-10,099,290.08|-13,671,758.22
产终止确收益|||
净敞口套期收益|||
公允价值变动收益|注释42.|-2,674,413.25|-19,143,159.70
信用减值损失|注释43.|-11,899,979.26|
资产减值损失|注释44.|-3,597,906.69|-12,056,526.95
资产处置收益|注释45.|1,189,365.71|-219,594.22
二、营业利润||1,138,813,299.07|1,112,005,792.33
加：营业外收入|注释46.|2,825,368.64|2,555,151.66
减：营业外支出|注释47.|18,217,707.42|1,726,561.49
三、利润总额||1,123,420,960.29|1,112,834,382.50
减：所得税费用|注释48.|159,180,167.69|152,501,107.16
四、净利润||964,240,792.60|960,333,275.34
（一）按经营持续性分类|||
持续经营净利润||964,240,792.60|960,333,275.34
终止经营净利润|||
（二）按所有权归属分类|||
归属于母公司所有者的净利润||704,054,276.33|698,846,322.95
少数股东损益||260,186,516.27|261,486,952.39
五、其他综合收益的税后净额|注释31.|8,864,869.22|7,768,228.76
归属于母公司所有者的其他综合收益的税后净额||7,524,182.38|5,199,935.36
（一）不能重分类进损益的其他综合收益|||
（二）将重分类进损益的其他综合收益||7,524,182.38|5,199,935.36
1. 外币财务报表折算差额||7,524,182.38|5,199,935.36
归属于少数股东的其他综合收益的税后净额||1,340,686.84|2,568,293.40
六、综合收益总额||973,105,661.82|968,101,504.10
归属于母公司所有者的综合收益总额||711,578,458.71|704,046,258.31
归属于少数股东的综合收益总额||261,527,203.11|264,055,245.79
七、每股收益|||
基本每股收益||0.95|0.94
稀释每股收益||0.95|0.94
