page|67
||2019 年 12 月 31 日||
编制单位：深圳市德赛电池科技股份有限公司||||（除特别注明外，金额单位均为人民币元）
资 产|附注六|期末余额|期初余额|上期期末余额
流动资产：||||
货币资金|注释 1|714,067,654.10|385,505,986.63|316,667,878.04
以公允价值计量且其变动计入当||||
||-|-|-
期损益的金融资产||||
交易性金融资产|注释 2|5,570,000.00|-|-
衍生金融资产||-|-|-
应收票据|注释 3|55,823,518.82|19,487,097.85|19,487,097.85
应收账款|注释 4|3,924,910,682.84|4,151,608,394.19|4,151,608,394.19
应收款项融资||-|-|-
预付款项|注释 5|19,207,209.99|31,136,074.28|31,136,074.28
其他应收款|注释 6|159,646,404.84|112,722,161.93|181,560,270.52
存货|注释 7|2,015,558,880.15|2,553,151,528.95|2,553,151,528.95
持有待售资产||-|-|-
一年内到期的非流动资产||-|-|-
其他流动资产|注释 8|294,748,772.82|394,463,073.23|394,463,073.23
流动资产合计||7,189,533,123.56|7,648,074,317.06|7,648,074,317.06
非流动资产：||||
可供出售金融资产|注释 9|-|-|35,249,382.04
持有至到期投资||-|-|-
债权投资||-|-|-
其他债权投资||-|-|-
长期应收款||-|-|-
长期股权投资||-|-|-
其他权益工具投资||-|-|-
其他非流动金融资产|注释 10|35,249,382.04|35,249,382.04|-
投资性房地产||-|-|-
固定资产|注释 11|859,925,940.08|686,493,405.54|686,493,405.54
在建工程|注释 12|18,259,569.08|60,796.03|60,796.03
生产性生物资产||-|-|-
油气资产||-|-|-
无形资产|注释 13|178,839,406.51|56,121,029.98|56,121,029.98
开发支出||-|-|-
商誉||-|-|-
长期待摊费用|注释 14|300,392,311.33|235,921,805.45|235,921,805.45
递延所得税资产|注释 15|129,068,697.06|119,725,571.20|119,725,571.20
其他非流动资产|注释 16|58,886,973.11|40,379,006.70|40,379,006.70
非流动资产合计||1,580,622,279.21|1,173,950,996.94|1,173,950,996.94
page|68
||合并资产负债表（续）||
||2019 年 12 月 31 日||
编制单位：深圳市德赛电池科技股份有限公司||||（除特别注明外，金额单位均为人民币元）
负债和股东权益|附注六|期末余额|期初余额|上期期末余额
流动负债：||||
短期借款|注释 17|508,092,364.06|1,197,583,360.97|1,123,347,202.91
以公允价值计量且其变动计入当期||||
||-|-|-
损益的金融负债||||
交易性金融负债||-|-|-
衍生金融负债||-|-|-
应付票据|注释 18|187,755,901.47|356,227,173.90|356,227,173.90
应付账款|注释 19|4,004,375,655.61|4,069,956,037.38|4,069,956,037.38
预收款项|注释 20|4,711,432.97|6,413,035.19|6,413,035.19
应付职工薪酬|注释 21|385,314,627.38|372,495,629.54|372,495,629.54
应交税费|注释 22|111,643,639.83|144,778,542.41|144,778,542.41
其他应付款|注释 23|79,613,959.89|93,048,383.99|167,684,586.76
持有待售负债||-|-|-
一年内到期的非流动负债|注释 24|74,270,545.37|72,075,539.54|72,075,539.54
其他流动负债||-|-|-
流动负债合计||5,355,778,126.58|6,312,577,702.92|6,312,977,747.63
非流动负债：||||
长期借款|注释 25|542,738,062.92|238,400,044.71|238,000,000.00
应付债券||-|-|-
其中：优先股||-|-|-
永续债||-|-|-
长期应付款|注释 26|-|274,631.51|274,631.51
长期应付职工薪酬||-|-|-
预计负债||-|-|-
递延收益|注释 27|10,387,377.51|6,129,350.62|6,129,350.62
递延所得税负债||-|-|-
其他非流动负债||-|-|-
非流动负债合计||553,125,440.43|244,804,026.84|244,403,982.13
负债合计||5,908,903,567.01|6,557,381,729.76|6,557,381,729.76
股东权益：||||
股本|注释 28|207,197,738.00|205,243,738.00|205,243,738.00
其他权益工具||-|-|-
其中：优先股||-|-|-
永续债||-|-|-
资本公积|注释 29|40,715,531.26|8,169,408.44|8,169,408.44
减：库存股|注释 30|28,118,060.00|-|-
其他综合收益|注释 31|1,157,336.96|458,582.04|458,582.04
专项储备||-|-|-
盈余公积|注释 32|84,323,558.40|69,645,416.09|69,645,416.09
未分配利润|注释 33|1,892,903,657.51|1,466,922,841.64|1,466,922,841.64
归属于母公司股东权益合计||2,198,179,762.13|1,750,439,986.21|1,750,439,986.21
少数股东权益||663,072,073.63|514,203,598.03|514,203,598.03
股东权益合计||2,861,251,835.76|2,264,643,584.24|2,264,643,584.24
负债和股东权益总计||8,770,155,402.77|8,822,025,314.00|8,822,025,314.00
