page|70
|合并现金流量表||
|2019 年度||
编制单位：深圳市德赛电池科技股份有限公司|||（除特别注明外，金额单位均为人民币元）
项 目|附注六|本期金额|上期金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||19,572,006,032.50|17,431,620,699.05
收到的税费返还||409,693,896.37|395,868,928.48
收到其他与经营活动有关的现金|注释 48|269,583,653.22|114,463,808.97
经营活动现金流入小计||20,251,283,582.09|17,941,953,436.50
购买商品、接受劳务支付的现金||16,896,997,764.62|16,286,890,636.64
支付给职工以及为职工支付的现金||1,066,907,357.52|1,029,293,570.29
支付的各项税费||281,884,676.39|191,325,537.56
支付其他与经营活动有关的现金|注释 48|410,923,868.01|312,275,209.53
经营活动现金流出小计||18,656,713,666.54|17,819,784,954.02
经营活动产生的现金流量净额||1,594,569,915.55|122,168,482.48
二、投资活动产生的现金流量：|||
收回投资所收到的现金||-|-
取得投资收益收到的现金||14,034,176.29|12,830,519.33
处置固定资产、无形资产和其他长期资产收回|||
||6,417,958.29|724,983.00
的现金净额|||
处置子公司及其他营业单位收到的现金净额||-|-
收到其他与投资活动有关的现金|注释 48|6,437,280,000.00|3,059,980,000.00
投资活动现金流入小计||6,457,732,134.58|3,073,535,502.33
购建固定资产、无形资产和其他长期资产支付|||
|注释 48|553,945,281.17|208,872,063.70
的现金|||
投资支付的现金||-|-
取得子公司及其他营业单位支付的现金净额||-|-
支付其他与投资活动有关的现金|注释 48|6,485,084,720.00|3,081,481,540.00
投资活动现金流出小计||7,039,030,001.17|3,290,353,603.70
投资活动产生的现金流量净额||(581,297,866.59)|(216,818,101.37)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||58,118,060.00|10,000,000.00
其中：子公司吸收少数股东投资收到的现金||30,000,000.00|10,000,000.00
取得借款收到的现金||2,162,036,597.34|3,290,294,975.63
收到其他与筹资活动有关的现金|注释 48|48,855,668.58|60,000,000.00
筹资活动现金流入小计||2,269,010,325.92|3,360,294,975.63
偿还债务支付的现金||2,582,890,212.94|2,968,895,494.19
分配股利、利润或偿付利息支付的现金||328,127,252.92|185,956,100.93
其中：子公司支付给少数股东的股利、利润||50,000,000.00|20,000,000.00
支付其他与筹资活动有关的现金|注释 48|179,438,361.25|15,286,881.38
筹资活动现金流出小计||3,090,455,827.11|3,170,138,476.50
筹资活动产生的现金流量净额||(821,445,501.19)|190,156,499.13
四、汇率变动对现金及现金等价物的影响||3,196,241.19|(62,084,007.84)
五、现金及现金等价物净增加额||195,022,788.96|33,422,872.40
加：期初现金及现金等价物余额||270,244,934.35|236,822,061.95
六、期末现金及现金等价物余额|注释 49|465,267,723.31|270,244,934.35
