page|82
项目|附注|2020 年度|2019 年度(重述后，附注二(50))
一、营业总收入||137,285,056|127,508,964
其中：营业收入|四(63)|136,540,320|126,647,718
利息收入||742,609|859,042
已赚保费|||
手续费及佣金收入||2,127|2,204
二、营业总成本||133,728,239|121,170,788
其中：营业成本|四(63)|113,949,305|103,272,800
利息支出||77,760|82,932
手续费及佣金支出||765|798
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|四(64)|547,763|520,673
销售费用|四(65)|4,325,732|3,543,208
管理费用|四(66)|8,102,479|8,191,745
研发费用|四(67)|4,854,084|4,088,473
财务费用|四(68)|1,870,351|1,470,159
其中：利息费用||2,074,545|1,704,659
利息收入||450,029|392,022
加：其他收益|四(72)|1,119,036|1,177,948
投资收益（损失以“－”号填列）|四(73)|1,677,656|429,780
其中：对联营企业和合营企业的投资收益||912,466|759,329
以摊余成本计量的金融资产终止确认收益||-36,529|-175,428
page|83
汇兑收益（损失以“－”号填列）||-1,166|8,881
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|四(75)|15,245|24,618
信用减值损失（损失以“-”号填列）|四(71)|-1,733,883|-1,720,165
资产减值损失（损失以“-”号填列）|四(70)|-1,117,707|-1,183,140
资产处置收益（损失以“－”号填列）|四(76)|2,547,039|1,851,759
三、营业利润（亏损以“－”号填列）||6,063,037|6,927,857
加：营业外收入|四(77)|362,065|205,490
减：营业外支出|四(78)|78,663|41,576
四、利润总额（亏损总额以“－”号填列）||6,346,439|7,091,771
减：所得税费用|四(79)|1,080,436|1,279,161
五、净利润（净亏损以“－”号填列）||5,266,003|5,812,610
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||5,266,003|5,812,610
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||3,758,175|3,501,037
2.少数股东损益（净亏损以“-”号填列）||1,507,828|2,311,573
六、其他综合收益的税后净额||-157,051|56,094
（一）归属母公司所有者的其他综合收益的税后净额||-94,535|96,981
1．不能重分类进损益的其他综合收益||-2,190|-6,267
（1）重新计量设定受益计划变动额||-2,190|-6,267
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-92,345|103,248
（1）权益法下可转损益的其他综合收益|||-30,908
（2）其他债权投资公允价值变动||12,434|16,400
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备||1,095|1,436
（6）外币财务报表折算差额||-222,814|130,381
（7）其他||116,940|-14,061
其中：以公允价值计量且其变动计入其他综合收益的应收账款公允价值变动||-137,616|-36,037
应收款项融资信用减值准备||385,760|6,994
境外净投资套期||-131,204|14,982
（二）归属于少数股东的其他综合收益的税后净额||-62,516|-40,887
七、综合收益总额||5,108,952|5,868,704
（一）归属于母公司所有者的综合收益总额||3,663,640|3,598,018
（二）归属于少数股东的综合收益总额||1,445,312|2,270,686
八、每股收益：|||
page|84
（一）基本每股收益(元/股)|四(81)|0.25|0.23
（二）稀释每股收益(元/股)|四(81)|0.24|0.23
