page|120
项目|附注|2019 年度|2018 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||112,601,955,628.25|126,174,840,593.43
收取利息、手续费及佣金的现金||1,504,262,185.51|2,236,866,828.97
向其他金融机构拆入资金净增加额||1,984,748,024.37|5,755,710,000.00
收到的税费返还||815,386,595.91|332,327,931.20
租赁保证金、预付租金净增加额||10,979,187.43|2,761,768.00
收到其他与经营活动有关的现金|(六)53(1)|1,920,990,782.80|2,492,209,038.33
经营活动现金流入小计||118,838,322,404.27|136,994,716,159.93
购买商品、接受劳务支付的现金||81,601,873,859.18|88,169,921,169.35
客户贷款及垫款净增加额||3,309,244,378.77|7,681,396,712.96
支付利息、手续费及佣金的现金||332,187,874.18|343,189,142.80
客户租赁款净增加额||899,863,831.52|227,785,797.30
支付给职工以及为职工支付的现金||7,118,346,473.73|8,552,438,830.07
支付的各项税费||7,320,797,789.21|7,385,445,951.61
支付其他与经营活动有关的现金|(六)53(2)|4,283,705,762.89|4,936,712,607.44
经营活动现金流出小计||104,866,019,969.48|117,296,890,211.53
经营活动产生的现金流量净额|(六)54(1)|13,972,302,434.79|19,697,825,948.40
二、投资活动产生的现金流量：|||
收回投资收到的现金||22,084,000,000.00|23,034,100,000.00
取得投资收益收到的现金||104,210,402.85|205,692,836.22
处置固定资产、无形资产和   其他长期资产收回的现金净额||155,270,499.10|415,764,191.42
处置子公司及其他营业单位收到的现金净额|(六)54(2)|175,449,788.51|72,396,865.59
收到其他与投资活动有关的现金|(六)53(3)|640,000,000.00|155,030,000.00
投资活动现金流入小计||23,158,930,690.46|23,882,983,893.23
购建固定资产、无形资产和其他长期资产支付的现金||6,940,322,371.02|6,662,489,810.42
处置子公司及其他营业单位支付的现金净额|(六)54(3)|4,993,792,624.63|-
取得子公司及其他营业单位所支付的现金净额|(六)54(4)|-|3,280,452.50
支付的其他与投资活动有关的现金|(六)53(4)|1,175,000,000.00|-
投资支付的现金||25,851,500,000.00|27,257,650,088.64
投资活动现金流出小计||38,960,614,995.65|33,923,420,351.56
投资活动产生的现金流量净额||(15,801,684,305.19)|(10,040,436,458.33)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||20,000,000.00|-
取得借款收到的现金||4,819,026,600.00|14,871,411,000.00
发行债券所收到的现金||10,517,321,973.25|-
收到其他与筹资活动有关的现金|(六)53(5)|121,390,982.17|-
筹资活动现金流入小计||15,477,739,555.42|14,871,411,000.00
偿还债务支付的现金||8,650,462,354.63|19,249,900,000.00
分配股利、利润或偿付利息支付的现金||2,830,052,136.50|2,042,135,996.39
其中：子公司支付给少数股东的股利、利润||-|-
支付其他与筹资活动有关的现金|(六)53(6)|53,277,393.27|80,212,536.30
筹资活动现金流出小计||11,533,791,884.40|21,372,248,532.69
筹资活动产生的现金流量净额||3,943,947,671.02|(6,500,837,532.69)
四、汇率变动对现金及现金等价物的影响||48,054,347.59|(386,030,249.52)
五、现金及现金等价物净增加额||2,162,620,148.21|2,770,521,707.86
加：年初现金及现金等价物余额||6,614,611,437.43|3,844,089,729.57
六、年末现金及现金等价物余额|(六)54(5)|8,777,231,585.64|6,614,611,437.43
