page|87
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,160,478,182.43|862,011,718.43
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
page|88
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||46,297,484.21|16,711,699.79
收到其他与经营活动有关的现金||74,490,713.74|43,992,455.58
经营活动现金流入小计||1,281,266,380.38|922,715,873.80
购买商品、接受劳务支付的现金||426,893,174.91|344,933,503.56
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||214,271,677.48|170,203,154.79
支付的各项税费||89,380,293.45|39,456,311.14
支付其他与经营活动有关的现金||261,230,188.58|201,829,977.34
经营活动现金流出小计||991,775,334.42|756,422,946.83
经营活动产生的现金流量净额||289,491,045.96|166,292,926.97
二、投资活动产生的现金流量：|||
收回投资收到的现金||125,000,000.00|
取得投资收益收到的现金||622,909.53|
处置固定资产、无形资产和其他长期资产收回的现金净额||5,941,934.40|1,617,446.56
处置子公司及其他营业单位收到的现金净额||29,839,083.65|24,000,000.00
收到其他与投资活动有关的现金||6,500,000.00|6,138,674.80
投资活动现金流入小计||167,903,927.58|31,756,121.36
购建固定资产、无形资产和其他长期资产支付的现金||296,744,586.06|167,757,383.01
投资支付的现金||126,700,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||640,871.00
支付其他与投资活动有关的现金|||
投资活动现金流出小计||423,444,586.06|168,398,254.01
投资活动产生的现金流量净额||-255,540,658.48|-136,642,132.65
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||240,804,095.25|
其中：子公司吸收少数股东投资收到的现金||4,900,000.00|
取得借款收到的现金||804,748,646.91|511,335,232.26
收到其他与筹资活动有关的现金|||53,400,000.00
筹资活动现金流入小计||1,045,552,742.16|564,735,232.26
偿还债务支付的现金||962,276,214.57|450,546,894.16
分配股利、利润或偿付利息支付的现金||37,973,254.94|62,703,387.11
page|89
其中：子公司支付给少数股东的股利、利润|||4,704,000.00
支付其他与筹资活动有关的现金||30,690,664.97|893,354.50
筹资活动现金流出小计||1,030,940,134.48|514,143,635.77
筹资活动产生的现金流量净额||14,612,607.68|50,591,596.49
四、汇率变动对现金及现金等价物的影响||-4,017,219.23|-2,568,326.90
五、现金及现金等价物净增加额||44,545,775.93|77,674,063.91
加：期初现金及现金等价物余额||216,656,732.96|138,982,669.05
六、期末现金及现金等价物余额||261,202,508.89|216,656,732.96
