page|137
||成都银行股份有限公司|||
||合并及公司利润表|||
||2021 年度|||
||（单位：人民币千元）|||
||合并||公司|
|附注七|2021 年度|2020 年度|2021 年度|2020 年度
一、营业收入||17,890,495|14,599,609|17,858,430|14,566,190
利息收入|33|29,185,229|23,602,854|29,144,756|23,561,139
利息支出|33|(14,763,290 )|(11,776,046 )|(14,753,805 )|(11,766,831 )
利息净收入|33|14,421,939|11,826,808|14,390,951|11,794,308
手续费及佣金收入|34|600,731|448,178|600,186|447,676
手续费及佣金支出|34|(       68,246 )|(       82,222 )|(       68,192 )|(       82,168 )
手续费及佣金净收入|34|532,485|365,956|531,994|365,508
其他收益||58,868|18,245|58,282|17,164
投资收益|35|2,128,647|2,192,073|2,128,647|2,192,683
其中：对联营企业和合营企业|||||
的投资收益||143,233|69,534|143,233|69,534
以摊余成本计量的金融资|||||
产终止确认产生的收益||6,430|89,284|6,430|89,284
汇兑损益||384,270|95,924|384,270|95,924
公允价值变动损益|36|345,975|77,216|345,975|77,216
资产处置损益||(         2,536 )|3,280|(         2,536 )|3,280
其他业务收入|37|20,847|20,107|20,847|20,107
二、营业支出||(  9,086,698 )|(  7,762,323 )|(  9,057,461 )|(  7,740,319 )
税金及附加|38|(     177,303 )|(     131,692 )|(     177,075 )|(     131,593 )
业务及管理费|39|(  4,078,723 )|(  3,485,635 )|(  4,061,676 )|(  3,470,513 )
信用减值损失|40|(  4,830,672 )|(  4,144,996 )|(  4,818,710 )|(  4,138,213 )
三、营业利润||8,803,797|6,837,286|8,800,969|6,825,871
加：营业外收入|41|8,125|5,795|7,984|5,758
减：营业外支出|42|(       21,539 )|(       38,702 )|(       21,043 )|(       38,674 )
四、利润总额||8,790,383|6,804,379|8,787,910|6,792,955
减：所得税费用|43|(     958,986 )|(     776,381 )|(     958,303 )|(     773,325 )
五、净利润||7,831,397|6,027,998|7,829,607|6,019,630
按经营持续性分类|||||
持续经营净利润||7,831,397|6,027,998|7,829,607|6,019,630
page|138
六、其他综合收益的税后净额|29|25,557|(     24,421 )|25,557|(     24,421 )
归属于母公司股东的其他|||||
综合收益的税后净额||25,557|(     24,421 )||
(一) 以后不能重分类进损|||||
益的其他综合收益|||||
1.重新计量设定受益计划|||||
净负债或净资产的变动||(     75,781 )|35,393|(     75,781 )|35,393
(二) 以后将重分类进损益|||||
的其他综合收益|||||
1.以公允价值计量且其变动|||||
计入其他综合收益的金融|||||
