page|9
|第二节  公司简介和主要财务指标
一、  公司信息|
公司的中文名称|厦门吉比特网络技术股份有限公司
公司的中文简称|吉比特
公司的外文名称|G-bits Network Technology (Xiamen) Co., Ltd.
公司的外文名称缩写|G-bits
公司的法定代表人|卢竑岩
二、  联系人和联系方式|
联系人和联系方式|董事会秘书
姓名|梁丽莉
联系地址|厦门软件园二期望海路 4 号 101 室
电话|0592-3213580
传真|0592-3213013
电子信箱|ir@g-bits.com
三、 基本情况简介|
公司注册地址|厦门软件园二期望海路 4 号 101 室
公司注册地址的历史变更情况|无
公司办公地址|厦门软件园二期望海路 4 号 101 室
公司办公地址的邮政编码|361008
公司网址|www.g-bits.com
电子信箱|ir@g-bits.com
四、 信息披露及备置地点|
|《中国证券报》（www.cs.com.cn）
|《上海证券报》（www.cnstock.com）
公司披露年度报告的媒体名称及网址|
|《证券时报》（www.stcn.com）
|《证券日报》（www.zqrb.cn）
公司披露年度报告的证券交易所网址|www.sse.com.cn
公司年度报告备置地点|公司证券部
