page|88
项目|附注|本年发生额|上年发生额 (已重述)
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||24,860,829|24,538,058
收到的税费返还||88,042|41,766
收到其他与经营活动有关的现金|(五)56(1)|664,837|736,834
经营活动现金流入小计||25,613,708|25,316,658
购买商品、接受劳务支付的现金||17,877,786|16,266,684
支付给职工以及为职工支付的现金||3,408,818|3,272,940
支付的各项税费||683,477|656,195
支付其他与经营活动有关的现金|(五)56(2)|2,800,140|2,821,686
经营活动现金流出小计||24,770,221|23,017,505
经营活动产生的现金流量净额|(五)57(1)|843,487|2,299,153
二、投资活动产生的现金流量：|||
收回投资收到的现金||63,685|11,500
取得投资收益收到的现金||8,424|8,354
处置固定资产、无形资产和      其他长期资产收回的现金净额||186,607|2,452,866
收到其他与投资活动有关的现金|(五)56(3)|5,208|410
投资活动现金流入小计||263,924|2,473,130
购建固定资产、无形资产和      其他长期资产支付的现金||1,760,000|3,378,010
投资支付的现金||60,500|6,566
取得子公司及其他营业单位支付的现金净额|(五)57(2)|1,121,947|13,344
支付其他与投资活动有关的现金||-|14
投资活动现金流出小计||2,942,447|3,397,934
投资活动产生的现金流量净额||(2,678,523)|(924,804)
三、筹资活动产生的现金流量：|||
取得借款收到的现金||3,032,134|912,246
收到其他与筹资活动有关的现金|(五)56(4)|179,911|-
筹资活动现金流入小计||3,212,045|912,246
偿还债务支付的现金||1,486,586|3,280,749
分配股利、利润或偿付利息支付的现金||1,000,773|749,154
其中：子公司支付给少数股东的股利、利润||43,043|28,703
支付其他与筹资活动有关的现金|(五)56(5)|936,712|58,003
筹资活动现金流出小计||3,424,071|4,087,906
筹资活动产生的现金流量净额||(212,026)|(3,175,660)
四、汇率变动对现金及现金等价物的影响||20,773|168,005
五、现金及现金等价物净增加额|(五)57(1)|(2,026,289)|(1,633,306)
加：期初现金及现金等价物余额||6,346,196|7,979,502
六、期末现金及现金等价物余额|(五)57(3)|4,319,907|6,346,196
