page|86
项目|附注|本年发生额|上年发生额 (已重述)
一、营业收入|(五)42|27,563,239|26,867,308
减：营业成本|(五)42|18,679,512|18,043,111
税金及附加|(五)43|84,403|110,512
销售费用|(五)44|4,873,256|4,701,936
管理费用|(五)45|1,562,317|998,133
研发费用|(五)46|436,325|442,253
财务费用|(五)47|1,665,885|570,392
其中：利息费用||694,350|570,464
利息收入||81,190|81,578
加：投资收益|(五)48|(231,205)|628,257
其中：对联营企业和合营企业的投资收益||19,861|7,001
公允价值变动收益(损失)|(五)49|825,512|(979,334)
信用减值损失|(五)50|(39,405)|(59,409)
资产减值损失|(五)51|(413,816)|(237,284)
资产处置收益|(五)52|127,073|1,966,155
二、营业利润||529,700|3,319,356
加：营业外收入||25,726|16,741
减：营业外支出|(五)53|103,854|36,960
三、利润总额||451,572|3,299,137
减：所得税费用|(五)54|174,531|851,261
四、净利润||277,041|2,447,876
(一)按经营持续性分类：|||
持续经营净利润||277,041|2,447,876
(二)按所有权归属分类：|||
归属于母公司所有者的净利润||277,041|2,447,876
五、其他综合收益的税后净额|(五)39|106,365|1,194,875
归属母公司所有者的其他综合收益的税后净额||106,365|1,194,875
(一)不能重分类进损益的其他综合收益||(48,181)|26,757
1.重新计量设定受益计划净负债或净资产的变动||(50,771)|26,757
2.其他权益工具投资公允价值变动||2,590|-
(二)将重分类进损益的其他综合收益||154,546|1,168,118
1.现金流量套期损益的有效部分||(138,917)|354,335
2.外币财务报表折算差额||293,463|813,783
六、综合收益总额|||
归属于母公司所有者的综合收益总额||383,406|3,642,751
七、每股收益：|(十四)2||
基本每股收益||0.11|1.00
稀释每股收益||不适用|不适用
