page|64
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,942,061,864.85|2,968,459,952.90
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
page|65
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|(五)78(1)|107,083,744.33|72,934,922.43
经营活动现金流入小计||3,049,145,609.18|3,041,394,875.33
购买商品、接受劳务支付的现金||1,954,176,867.49|1,883,100,365.67
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||710,282,276.73|647,766,931.00
支付的各项税费||173,771,526.86|99,155,438.52
支付其他与经营活动有关的现金|(五)78(2)|103,444,660.64|142,271,629.18
经营活动现金流出小计||2,941,675,331.72|2,772,294,364.37
经营活动产生的现金流量净额|(五)79(1)|107,470,277.46|269,100,510.96
二、投资活动产生的现金流量：|||
收回投资收到的现金||228,161.80|1,035,094.85
取得投资收益收到的现金||60,935,474.20|141,483,548.72
处置固定资产、无形资产和其他长期资产收回的现金净额||54,514,006.73|160,695,536.26
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|(五)78(3)||20,000,000.00
投资活动现金流入小计||115,677,642.73|323,214,179.83
购建固定资产、无形资产和其他长期资产支付的现金||271,035,703.86|247,202,403.92
投资支付的现金||145,097.59|421,685.42
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|(六)2(2)|25,498,831.27|22,361,618.72
支付其他与投资活动有关的现金|||
投资活动现金流出小计||296,679,632.72|269,985,708.06
投资活动产生的现金流量净额||-181,001,989.99|53,228,471.77
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||25,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||25,000,000.00
偿还债务支付的现金||35,000,000.00|22,280,000.00
分配股利、利润或偿付利息支付的现金||75,951,130.18|186,053,741.31
page|66
其中：子公司支付给少数股东的股利、利润||2,090,587.24|47,855,466.30
购买少数股东股权支付的现金|(六)2(2)|17,591,169.73|
支付其他与筹资活动有关的现金|(五)78(6)|17,632,473.66|
筹资活动现金流出小计||146,174,773.57|208,333,741.31
筹资活动产生的现金流量净额||-146,174,773.57|-183,333,741.31
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-219,706,486.10|138,995,241.42
加：期初现金及现金等价物余额|(五)79(4)|1,248,801,240.16|1,109,805,998.74
六、期末现金及现金等价物余额|(五)79(4)|1,029,094,754.06|1,248,801,240.16
