page|129
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,372,328,906.99|896,277,258.60
客户存款和同业存放款项净增加额|||
page|130
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,540,624.42|644,359.95
收到其他与经营活动有关的现金|七、78|14,176,329.17|11,531,067.62
经营活动现金流入小计||1,388,045,860.58|908,452,686.17
购买商品、接受劳务支付的现金||960,613,770.17|697,784,176.66
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||39,673,495.69|32,048,223.20
支付的各项税费||52,095,647.13|42,189,180.03
支付其他与经营活动有关的现金|七、78|45,743,600.05|50,064,155.92
经营活动现金流出小计||1,098,126,513.04|822,085,735.81
经营活动产生的现金流量净额||289,919,347.54|86,366,950.36
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,272,700,000.00|146,500,000.00
取得投资收益收到的现金||3,695,788.89|194,269.86
处置固定资产、无形资产和其他长期资产收回的现金净额||150,000.00|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,276,545,788.89|146,694,269.86
page|131
购建固定资产、无形资产和其他长期资产支付的现金||69,330,694.45|6,401,881.76
投资支付的现金||1,640,700,000.00|161,500,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,710,030,694.45|167,901,881.76
投资活动产生的现金流量净额||-433,484,905.56|-21,207,611.90
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||507,387,677.44|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||20,930,000.00|69,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||528,317,677.44|69,000,000.00
偿还债务支付的现金||60,930,000.00|109,120,000.00
分配股利、利润或偿付利息支付的现金||40,394,703.35|42,832,036.74
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|18,807,130.69|
筹资活动现金流出小计||120,131,834.04|151,952,036.74
筹资活动产生的现金流量净额||408,185,843.40|-82,952,036.74
四、汇率变动对现金及现金等价物的影响||-648,307.21|-101,094.24
五、现金及现金等价物净增加额||263,971,978.17|-17,893,792.52
加：期初现金及现金等价物余额||42,975,641.82|60,869,434.34
六、期末现金及现金等价物余额||306,947, 619.99|42,975,641.82
