page|77
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||36,079,028,899.33|28,350,255,061.44
客户存款和同业存放款项净增加额||1,214,349,187.76|-701,658,408.88
向中央银行借款净增加额|||
向其他金融机构拆入资金净增|||
page|78
加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||341,749,654.62|287,886,140.00
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||202,831,860.65|200,641,117.40
收到其他与经营活动有关的现金|（八十五）|857,332,997.82|1,071,880,471.25
经营活动现金流入小计||38,695,292,600.18|29,209,004,381.21
购买商品、接受劳务支付的现金||26,173,446,276.44|23,868,436,892.11
客户贷款及垫款净增加额||1,430,366,090.18|137,932,907.55
存放中央银行和同业款项净增加额||48,452,068.50|-49,152,652.71
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金||252,971,635.69|115,445,315.62
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,286,526,814.10|1,968,641,221.56
支付的各项税费||1,433,589,553.11|733,194,432.44
支付其他与经营活动有关的现金|（八十五）|1,200,645,388.60|1,323,774,439.93
经营活动现金流出小计||32,825,997,826.62|28,098,272,556.50
经营活动产生的现金流量净额||5,869,294,773.56|1,110,731,824.71
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,369,365,465.20|823,265,372.13
取得投资收益收到的现金||342,672,606.47|233,491,942.58
处置固定资产、无形资产和其他长期资产收回的现金净额||269,789,376.99|37,239,203.52
处置子公司及其他营业单位收到的现金净额|||925,890,638.47
收到其他与投资活动有关的现金|（八十五）|33,693,741.86|51,951,182.08
投资活动现金流入小计||2,015,521,190.52|2,071,838,338.78
购建固定资产、无形资产和其他长期资产支付的现金||4,571,663,222.02|1,524,652,933.11
投资支付的现金||1,300,223,965.76|1,276,847,540.96
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
page|79
支付其他与投资活动有关的现金|（八十五）|30,000,000.00|44,208,973.79
投资活动现金流出小计||5,901,887,187.78|2,845,709,447.86
投资活动产生的现金流量净额||-3,886,365,997.26|-773,871,109.08
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||353,846,308.00|359,630,965.00
其中：子公司吸收少数股东投资收到的现金||335,016,000.00|275,689,800.00
取得借款收到的现金||3,600,298,345.03|4,253,178,314.03
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||3,954,144,653.03|4,612,809,279.03
偿还债务支付的现金||3,694,884,129.00|7,003,042,127.26
分配股利、利润或偿付利息支付的现金||440,310,004.98|726,502,968.43
其中：子公司支付给少数股东的股利、利润||48,694,830.70|167,822,405.47
支付其他与筹资活动有关的现金|（八十五）|38,439,218.20|
筹资活动现金流出小计||4,173,633,352.18|7,729,545,095.69
筹资活动产生的现金流量净额||-219,488,699.15|-3,116,735,816.66
四、汇率变动对现金及现金等价物的影响||-16,636,653.16|-29,491,764.20
五、现金及现金等价物净增加额||1,746,803,423.99|-2,809,366,865.23
加：期初现金及现金等价物余额||7,918,310,235.27|10,727,677,100.50
六、期末现金及现金等价物余额||9,665,113,659.26|7,918,310,235.27
