page|70
项目|2020 年度||2019 年度|
|合并|公司|合并|公司
一、经营活动产生的现金流量：||||
销售商品、提供劳务收到的现金|2,828,801,828.26|37,869,150.10|3,682,281,652.22|37,040,828.95
收到的税费返还|528,861.42||9,364,298.79|
收到其他与经营活动有关的现金|288,448,795.49|164,062,160.05|318,734,232.29|557,451,805.09
经营活动现金流入小计|3,117,779,485.17|201,931,310.15|4,010,380,183.30|594,492,634.04
购买商品、接受劳务支付的现金|1,459,948,396.91|45,527,166.58|1,580,857,097.28|43,164,463.16
支付给职工以及为职工支付的现金|1,183,762,310.59|39,438,471.93|1,973,073,182.22|39,890,259.51
支付的各项税费|189,158,208.87|1,340,880.41|181,773,703.00|8,643,660.96
支付其他与经营活动有关的现金|473,837,553.59|1,400,240,461.55|307,157,267.10|712,008,611.37
经营活动现金流出小计|3,306,706,469.96|1,486,546,980.47|4,042,861,249.60|803,706,995.00
经营活动产生的现金流量净额|-188,926,984.79|-1,284,615,670.32|-32,481,066.30|-209,214,360.96
二、投资活动产生的现金流量：||||
收回投资收到的现金|1,993,676,573.12|836,309,586.45|971,172,808.25|72,500,000.00
取得投资收益收到的现金|54,675,748.70|46,231,092.15|124,230,939.65|258,739,627.49
处置固定资产、无形资产和其他长期资产收回的现金净额|10,325,780.05|800.00|4,128,542.78|
处置子公司及其他营业单位收到的现金|3,900,000.00||3,938,103.89|
收到其他与投资活动有关的现金|3,617,162.18|162,165,028.64|37,723,009.79|164,815,164.77
投资活动现金流入小计|2,066,195,264.05|1,044,706,507.24|1,141,193,404.36|496,054,792.26
购置固定资产、无形资产和其他长期资产支付的现金|181,865,539.81|73,090.59|122,984,699.35|225,711.24
投资支付的现金|569,886,097.25|400.00|202,073,320.12|36,819,951.75
取得子公司及其他营业单位支付的现金净额||||
支付其他与投资活动有关的现金||||
投资活动现金流出小计|751,751,637.06|73,490.59|325,058,019.47|37,045,662.99
投资活动产生的现金流量净额|1,314,443,626.99|1,044,633,016.65|816,135,384.89|459,009,129.27
三、筹资活动产生的现金流量：||||
吸收投资收到的现金||||
其中：子公司吸收少数股东投资收到的现金||||
取得借款收到的现金|1,724,030,000.00|1,452,030,000.00|1,163,188,400.00|1,092,408,400.00
收到其他与筹资活动有关的现金||||
筹资活动现金流入小计|1,724,030,000.00|1,452,030,000.00|1,163,188,400.00|1,092,408,400.00
偿还债务支付的现金|2,233,207,988.34|985,591,505.65|1,843,389,230.27|1,208,495,456.66
分配股利、利润或偿付利息支付的现金|285,790,395.27|222,277,895.31|303,640,460.65|209,129,942.49
其中：子公司支付少数股东的现金股|3,750,000.00||11,250,000.00|
支付其他与筹资活动有关的现金|14,155,409.97|15,862.81|1,191,381.96|25,036.70
筹资活动现金流出小计|2,533,153,793.58|1,207,885,263.77|2,148,221,072.88|1,417,650,435.85
筹资活动产生的现金流量净额|-809,123,793.58|244,144,736.23|-985,032,672.88|-325,242,035.85
四、汇率变动对现金及现金等价物的影|-185,711.91|-528.18|348,043.13|133.70
五、现金及现金等价物净增加额|316,207,136.71|4,161,554.38|-201,030,311.16|-75,447,133.84
加：期初现金及现金等价物余额|359,577,316.48|868,142.53|560,607,627.64|76,315,276.37
六、期末现金及现金等价物余额|675,784,453.19|5,029,696.91|359,577,316.48|868,142.53
