page|73
合并利润表 2019年度单位：元   币种：人民币编制单位：广东高乐股份有限公司|||
项                目|附注|本期|上期
一、营业总收入||712,431,248.48|830,248,170.87
其中：营业收入|五、30|712,431,248.48|830,248,170.87
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||728,324,023.92|793,112,707.71
其中：营业成本|五、30|510,287,006.42|595,218,738.05
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险合同准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|五、31|8,428,599.74|8,808,588.53
销售费用|五、32|88,789,740.65|77,550,527.03
管理费用|五、33|72,947,305.14|73,002,563.18
研发费用|五、34|34,275,360.31|30,032,960.17
财务费用|五、35|13,596,011.66|8,499,330.75
其中：利息费用||13,303,089.15|14,340,713.99
利息收入||254,490.11|201,163.96
|||
加：其他收益|五、36|7,119,714.86|10,246,284.27
投资收益（损失以“-”号填列）|五、37|13,438,447.53|1,686,054.61
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益（损失以“—”号填列）|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“—”号填列）|||
公允价值变动收益（损失以“-”填列）|||
信用减值损失（损失以“-”号填列）|五、38|-30,167,445.01|
资产减值损失（损失以“-”号填列）|五、39|-331,514,087.08|-10,716,073.82
汇兑收益（损失以“-”号填列）|||
资产处置收益（损失以“-”号填列）|五、40||-129,630.58
|||
三、营业利润（亏损以“- ”号填列）||-357,016,145.14|38,222,097.64
加：营业外收入|五、41|9,066.39|6,511.25
减：营业外支出|五、42|225,470.15|7,153,920.70
四、利润总额（亏损总额以“- ”号填列）||-357,232,548.90|31,074,688.19
减：所得税费用|五、43|2,119,371.53|380,416.64
五、净利润（净亏损以“- ”号填列）||-359,351,920.43|30,694,271.55
（一）按经营持续性分类|||
1、持续经营净利润（净亏损以“-”号填列）||-359,351,920.43|30,694,271.55
2、终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1、归属于母公司股东的净利润（净亏损以“-”号填列）||-328,935,421.76|11,282,762.71
2、少数股东损益（净亏损以“-”号填列）||-30,416,498.67|19,411,508.84
六、其他综合收益的税后净额||1,151,199.70|2,675,694.68
（一）归属于母公司所有者的其他综合收益的税后净额||1,151,199.70|2,675,694.68
1.不能重分类进损益的其他综合收益|||
(1)重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
（5）其他|||
2.将重分类进损益的其他综合收益||1,151,199.70|2,675,694.68
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动损益|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备|||
（8）外币财务报表折算差额||1,151,199.70|2,675,694.68
（9）其他|||
（二）归属少数股东的其他综合收益的税后净额|||
七、综合收益总额||-358,200,720.73|33,369,966.23
其中：归属于母公司所有者的综合收益总额||-327,784,222.06|13,958,457.39
归属于少数股东的综合收益总额||-30,416,498.67|19,411,508.84
八、每股收益：|||
（一）基本每股收益|||
（二）稀释每股收益|||
法定代表人: 杨旭恩              主管会计工作负责人:杨旭恩                    会计机构负责人:沈梅|||
