page|118
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||986,205,288.70|574,010,969.73
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||5,101,710.70|4,032,711.15
收到其他与经营活动有关的现金||36,659,868.41|154,792,102.60
经营活动现金流入小计||1,027,966,867.81|732,835,783.48
购买商品、接受劳务支付的现金||997,990,989.78|467,114,610.36
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||70,214,174.41|45,572,613.37
支付的各项税费||18,874,847.34|32,949,747.42
支付其他与经营活动有关的现金||34,141,987.10|153,576,643.14
page|119
经营活动现金流出小计||1,121,221,998.63|699,213,614.29
经营活动产生的现金流量净额||-93,255,130.82|33,622,169.19
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||5,370,713.94|
处置固定资产、无形资产和其他长期资产收回的现金净额||106,800.00|88,727.64
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||300,000,000|200,000,000.00
投资活动现金流入小计||305,477,513.94|200,088,727.64
购建固定资产、无形资产和其他长期资产支付的现金||124,334,033.86|49,503,131.03
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||11,003,639.60|
支付其他与投资活动有关的现金||300,000,000|200,000,000.00
投资活动现金流出小计||435,337,673.46|249,503,131.03
投资活动产生的现金流量净额||-129,860,159.52|-49,414,403.39
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||602,019,140.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,000,000.00|30,230,259.67
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||1,000,000.00|632,249,399.67
偿还债务支付的现金|||33,191,583.33
分配股利、利润或偿付利息支付的现金||32,826,423.60|852,945.09
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||27,030,587.74
筹资活动现金流出小计||32,826,423.60|61,075,116.16
筹资活动产生的现金流量净额||-31,826,423.60|571,174,283.51
四、汇率变动对现金及现金等价物的影响||-52,437.41|2,071,548.97
五、现金及现金等价物净增加额||-254,994,151.35|557,453,598.28
加：期初现金及现金等价物余额||648,210,606.59|90,757,008.31
六、期末现金及现金等价物余额||393,216,455.24|648,210,606.59
