page|119
项目|附注|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||706,519,123.43|497,286,118.95
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||3,474,305.69|27,126,156.80
收到其他与经营活动有关的现金|（四十五）|35,190,663.16|16,388,467.89
经营活动现金流入小计||745,184,092.28|540,800,743.64
购买商品、接受劳务支付的现金||488,374,279.53|243,068,571.03
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||96,928,083.37|108,962,892.05
支付的各项税费||33,507,661.63|39,688,350.99
支付其他与经营活动有关的现金|（四十五）|35,833,948.95|30,146,485.91
经营活动现金流出小计||654,643,973.48|421,866,299.98
经营活动产生的现金流量净额||90,540,118.80|118,934,443.66
二、投资活动产生的现金流量|||
收回投资收到的现金||1,435,750,000.00|1,879,999,700.00
取得投资收益收到的现金||34,898,858.33|32,456,920.59
处置固定资产、无形资产和其他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,470,648,858.33|1,912,456,620.59
购建固定资产、无形资产和其他长期资产支付的现金||138,690,684.33|265,090,724.82
投资支付的现金||1,101,300,000.00|1,755,949,700.00
page|120
项目|附注|本期金额|上期金额
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,239,990,684.33|2,021,040,424.82
投资活动产生的现金流量净额||230,658,174.00|-108,583,804.23
三、筹资活动产生的现金流量|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||353,880,000.00|219,900,000.00
收到其他与筹资活动有关的现金|（四十五）|522,207,545.34|77,575,453.16
筹资活动现金流入小计||876,087,545.34|297,475,453.16
偿还债务支付的现金||270,880,000.00|116,000,000.00
分配股利、利润或偿付利息支付的现金||13,638,502.13|10,238,693.31
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（四十五）|556,408,133.11|172,544,492.24
筹资活动现金流出小计||840,926,635.24|298,783,185.55
筹资活动产生的现金流量净额||35,160,910.10|-1,307,732.39
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||356,359,202.90|9,042,907.04
加：期初现金及现金等价物余额||75,492,200.18|66,449,293.14
六、期末现金及现金等价物余额||431,851,403.08|75,492,200.18
