page|7
股票简称|ST 天顺|股票代码|002800
变更前的股票简称（如有）|天顺股份||
股票上市证券交易所|深圳证券交易所||
公司的中文名称|新疆天顺供应链股份有限公司||
公司的中文简称|天顺股份||
公司的外文名称（如有）|Xinjiang Tianshun Supply Chain Co.,Ltd.||
公司的外文名称缩写（如有）|无||
公司的法定代表人|丁治平||
注册地址|新疆乌鲁木齐市经济技术开发区(头屯河区)屯坪北路 9 号乌鲁木齐综合保税区围网内查验库 CY066 室(中国(新疆)自由贸易试验区)||
注册地址的邮政编码|830026||
公司注册地址历史变更情况|公司于 2023 年 12 月 12 日、2023 年 12 月 28 日召开第五届董事会第二十一次临时会议、2023 年第三次临时股东大会，审议通过《关于公司变更经营范围、注册地址及修订＜公司章程＞的议案》，将公司注册地址由“新疆乌鲁木齐经济技术开发区赛里木湖路 133 号”变更为“新疆乌鲁木齐经济技术开发区（头屯河）区屯坪路 9 号乌鲁木齐综合保税区围网内查验库 CY066 室（中国（新疆）自由贸易试验区）”||
办公地址|新疆乌鲁木齐市经济技术开发区大连街 52 号||
办公地址的邮政编码|830026||
公司网址|www.xjtsscm.com||
电子信箱|xjts@xjtsscm.com||
