page|96
项            目|本期发生额|上期发生额|附注编号
一、营业总收入|285,024,104,220.90|243,222,476,110.51|
其中: 营业收入|284,933,136,294.19|243,109,482,718.25   六、（四十八）|
△利息收入|72,393,551.68|59,055,702.99|
△已赚保费|||
△手续费及佣金收入|18,574,375.03|53,937,689.27|
二、营业总成本|241,955,647,508.48|198,071,293,557.61|
其中:营业成本|208,630,764,137.74|163,954,960,603.05   六、（四十八）|
△利息支出|||
△手续费及佣金支出|||
△退保金|||
△赔付支出净额|||
△提取保险责任准备金净额|||
△保单红利支出|||
△分保费用|||
税金及附加|15,684,617,587.62|18,497,265,790.59   六、（四十九）|
销售费用|7,384,003,157.21|6,876,623,310.34|六、（五十）
管理费用|5,434,035,615.67|4,322,844,956.73   六、（五十一）|
研发费用|1,435,783,317.57|1,260,470,195.49   六、（五十二）|
财务费用|3,386,443,692.67|3,159,128,701.41   六、（五十三）|
其中：利息费用|5,583,381,396.48|5,870,397,845.63   六、（五十三）|
利息收入|2,432,906,063.50|2,446,177,619.55   六、（五十三）|
加：其他收益|186,487,644.21|151,976,177.80   六、（五十四）|
投资收益（损失以“－”号填列）|6,211,153,408.51|6,141,421,444.11   六、（五十五）|
其中:对联营企业和合营企业的投资收益|5,749,580,136.40|5,054,082,818.19   六、（五十五）|
以摊余成本计量的金融资产终止确认收益 （损失以“－”号填列）|||
△汇兑收益（损失以“-”号填列）|||
净敞口套期收益 （损失以“-”号填列）|||
公允价值变动收益 （损失以“－”号填列）|246,221,996.89|53,386,471.61   六、（五十六）|
信用减值损失 （损失以“－”号填列）|-152,543,075.17|-70,500,552.61   六、（五十七）|
资产减值损失 （损失以“－”号填列）|94,531,034.15|849,027,919.85   六、（五十八）|
资产处置收益 （损失以“-”号填列）|15,803,947.99|-10,087,268.36   六、（五十九）|
三、营业利润（亏损以“－”号填列）|49,670,111,669.00|52,266,406,745.30|
加: 营业外收入|511,513,023.10|409,134,667.10|六、（六十）
减：营业外支出|146,662,680.53|136,072,504.36   六、（六十一）|
四、利润总额（亏损总额以“－”号填列）|50,034,962,011.57|52,539,468,908.04|
减：所得税费用|12,845,486,194.35|12,490,181,703.43   六、（六十二）|
五、净利润（净亏损以“－”号填列）|37,189,475,817.22|40,049,287,204.61|
其中:被合并方在合并前实现的净利润|1,746,370.96|1,079,625.25|
（一）按经营持续性分类|||
1.持续经营净利润 （净亏损以“－”号填列）|37,189,475,817.22|40,049,287,204.61|
2.终止经营净利润 （净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润 （净亏损以“－”号填列）|27,387,836,594.31|28,949,509,481.91|
2.少数股东损益 （净亏损以“－”号填列）|9,801,639,222.91|11,099,777,722.70|
六、其他综合收益的税后净额|-224,228,449.28|211,649,268.09   六、（六十三）|
归属母公司所有者的其他综合收益的税后净额|-224,228,449.28|211,649,268.09   六、（六十三）|
(一) 不能重分类进损益的其他综合收益|||
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动|||
4.企业自身信用风险公允价值变动|||
(二) 将重分类进损益的其他综合收益|-224,228,449.28|211,649,268.09   六、（六十三）|
1.权益法下可转损益的其他综合收益|23,925,507.13|86,182,460.45   六、（六十三）|
2.其他债权投资公允价值变动|||
3.金融资产重分类计入其他综合收益的金额|||
4.其他债权投资信用减值准备|||
5.现金流量套期储备|120,909,005.47|-5,597,835.51  六、（六十三）|
6.外币财务报表折算差额|-369,062,961.88|131,064,643.15   六、（六十三）|
7.其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额|36,965,247,367.94|40,260,936,472.70|
归属于母公司所有者的综合收益总额|27,163,608,145.03|29,161,158,750.00|
归属于少数股东的综合收益总额|9,801,639,222.91|11,099,777,722.70|
八、每股收益|||
(一) 基本每股收益 （元/股）|2.29|2.42|十七、（二）
(二) 稀释每股收益 （元/股）|2.29|2.42|十七、（二）
