page|98
项目|附注|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||2,491,835,841.38|2,789,501,917.24
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,688,589.93|37,148.07
收到其他与经营活动有关的现金|（四十七）|57,409,108.00|81,763,428.86
经营活动现金流入小计||2,550,933,539.31|2,871,302,494.17
购买商品、接受劳务支付的现金||2,187,923,036.15|2,010,407,665.72
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||297,663,089.11|438,720,403.31
支付的各项税费||43,660,572.46|80,500,787.70
支付其他与经营活动有关的现金|（四十七）|117,017,279.61|104,199,417.07
经营活动现金流出小计||2,646,263,977.33|2,633,828,273.80
经营活动产生的现金流量净额||-95,330,438.02|237,474,220.37
二、投资活动产生的现金流量|||
收回投资收到的现金|||
page|99
项目|附注|本期金额|上期金额
取得投资收益收到的现金||16,485,203.22|2,791,198.89
处置固定资产、无形资产和其他长期资产收回的现金净额||5,007,978.63|624,147.73
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（四十七）|299,156,185.88|214,010,000.00
投资活动现金流入小计||320,649,367.73|217,425,346.62
购建固定资产、无形资产和其他长期资产支付的现金||19,527,259.67|32,237,833.76
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||33,461,336.41|60,275,000.00
支付其他与投资活动有关的现金|（四十七）|348,413,524.71|214,010,000.00
投资活动现金流出小计||401,402,120.79|306,522,833.76
投资活动产生的现金流量净额||-80,752,753.06|-89,097,487.14
三、筹资活动产生的现金流量|||
吸收投资收到的现金|||300,000.00
其中：子公司吸收少数股东投资收到的现金|||300,000.00
取得借款收到的现金||190,000,000.00|271,587,190.23
收到其他与筹资活动有关的现金|（四十七）||
筹资活动现金流入小计||190,000,000.00|271,887,190.23
偿还债务支付的现金||314,586,983.40|487,324,668.99
分配股利、利润或偿付利息支付的现金||29,105,426.74|28,963,216.62
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（四十七）|4,611,884.66|1,901,906.28
筹资活动现金流出小计||348,304,294.80|518,189,791.89
筹资活动产生的现金流量净额||-158,304,294.80|-246,302,601.66
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-334,387,485.88|-97,925,868.43
加：期初现金及现金等价物余额||707,370,565.89|805,296,434.32
六、期末现金及现金等价物余额||372,983,080.01|707,370,565.89
