page|110
(除特别注明外，金额单位均为人民币千元)|||||
|||本集团||本行
||2021 年|2020 年|2021 年|2020 年
资产|附注七|12 月 31 日|12 月 31 日|12 月 31 日|12 月 31 日
现金及存放中央银行款项|1|36,908,874|34,587,639|35,876,988|33,694,996
存放同业款项|2|2,700,296|2,487,005|2,356,649|2,251,255
拆出资金|3|719,001|713,763|719,001|713,763
衍生金融资产|4|343,227|100,808|343,227|100,808
买入返售金融资产|5|2,999,652|2,799,498|2,999,652|2,799,498
发放贷款和垫款|6|210,221,216|167,496,315|202,256,870|161,256,088
金融投资|||||
—交易性金融资产|7|22,265,974|23,030,652|22,265,974|23,030,652
—债权投资|8|94,189,857|64,696,353|94,189,857|64,696,353
—其他债权投资|9|55,728,632|58,191,944|55,728,632|58,191,944
—其他权益工具投资||48,535|48,535|48,535|48,535
固定资产|10|1,779,909|815,676|1,743,528|777,840
在建工程|11|283,400|202,397|277,437|196,489
使用权资产|12|629,557|不适用|589,174|不适用
无形资产|13|20,258|42,502|19,556|37,107
长期股权投资|14|1,334,030|1,231,166|2,043,934|1,941,070
递延所得税资产|15|2,535,368|2,289,337|2,507,283|2,270,553
长期待摊费用||124,400|121,588|110,671|111,833
其他资产|16|581,520|1,377,036|576,129|1,363,683
资产总计||433,413,706|360,232,214|424,653,097|353,482,467
page|111
(除特别注明外，金额单位均为人民币千元)|||||
|||本集团||本行
||2021 年|2020 年|2021 年|2020 年
负债和股东权益|附注七|12 月 31 日|12 月 31 日|12 月 31 日|12 月 31 日
负债：|||||
向中央银行借款|18|26,971,578|10,983,747|26,344,010|10,583,973
同业及其他金融机构存放|||||
款项|19|10,786,968|11,060,705|13,231,520|12,580,340
拆入资金|20|1,901,980|1,801,956|1,901,980|1,801,956
交易性金融负债||29,356|30,084|29,356|30,084
衍生金融负债|4|363,638|97,491|363,638|97,491
卖出回购金融资产款|21|19,491,883|18,951,418|19,491,883|18,951,418
吸收存款|22|298,458,056|249,018,048|288,469,616|241,540,894
应付职工薪酬|23|1,050,520|973,393|1,026,110|947,583
应交税费|24|619,385|576,579|595,162|552,032
应付债券|25|39,653,532|38,158,530|39,653,532|38,158,530
预计负债|26|420,291|828,893|419,607|828,306
租赁负债|27|584,888|不适用|547,162|不适用
其他负债|28|476,855|452,705|464,096|441,777
负债合计||400,808,930|332,933,549|392,537,672|326,514,384
股东权益：|||||
股本|29|4,580,833|4,122,750|4,580,833|4,122,750
其他权益工具|30|5,499,245|4,997,409|5,499,245|4,997,409
其中：优先股||-|1,997,990|-|1,997,990
永续债||5,499,245|2,999,419|5,499,245|2,999,419
资本公积|31|8,305,471|6,349,087|8,304,744|6,348,360
其他综合收益|50|706,401|322,384|706,401|322,384
盈余公积|32|1,944,909|1,654,052|1,944,909|1,654,052
一般风险准备|33|5,110,161|4,328,220|5,043,225|4,309,164
未分配利润|34|6,209,605|5,308,309|6,036,068|5,213,964
归属于母公司股东权益合计||32,356,625|27,082,211|32,115,425|26,968,083
少数股东权益|35|248,151|216,454|-|-
股东权益合计||32,604,776|27,298,665|32,115,425|26,968,083
负债和股东权益总计||433,413,706|360,232,214|424,653,097|353,482,467
本财务报表由以下人士签署：|||||
