page|49
项目|附注六|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|注释 1|4,606,714,042.74|3,969,427,062.41
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|||
应收账款|注释 2|1,682,997.20|6,417,017.73
应收款项融资|注释 3|4,280,178,031.48|2,784,575,398.97
预付款项|注释 4|116,692,392.44|137,382,127.94
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|注释 5|140,781,985.58|34,741,548.71
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|注释 6|6,353,550,235.10|5,809,263,880.54
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|注释 7|308,356,521.53|529,580,717.12
流动资产合计||15,807,956,206.07|13,271,387,753.42
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|注释 8|39,427,869.84|
其他权益工具投资|注释 9|12,980,274.67|12,805,376.91
其他非流动金融资产|||
投资性房地产|注释 10|16,030,326.14|13,459,730.78
固定资产|注释 11|1,762,443,649.04|1,642,335,361.18
在建工程|注释 12|527,105,766.16|510,641,550.02
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|注释 13|338,952,461.67|313,491,062.45
开发支出|||
商誉|||
长期待摊费用|注释 14|7,298,093.75|8,575,010.99
page|50
递延所得税资产|注释 15|1,126,833,910.87|834,612,281.47
其他非流动资产|注释 16|139,506,354.85|112,549,415.87
非流动资产合计||3,970,578,706.99|3,448,469,789.67
资产总计||19,778,534,913.06|16,719,857,543.09
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|注释 17|856,514,344.30|753,766,489.78
应付账款|注释 18|1,454,927,658.73|1,872,795,426.75
预收款项|注释 19||
合同负债|注释 20|3,106,945,277.56|2,513,410,832.16
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|注释 21|1,068,802,947.71|842,372,435.36
应交税费|注释 22|1,795,736,202.57|1,238,745,252.75
其他应付款|注释 23|942,505,641.87|1,224,564,335.32
其中：应付利息|||
应付股利||2,436,988.96|6,857,466.46
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|注释 24|403,902,886.08|326,743,408.18
流动负债合计||9,629,334,958.82|8,772,398,180.30
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|注释 25|25,602,039.21|27,129,311.30
预计负债|||
递延收益|注释 26|28,090,000.00|12,050,000.00
递延所得税负债|注释 15|30,571,179.78|15,340,372.19
其他非流动负债|||
非流动负债合计||84,263,218.99|54,519,683.49
负债合计||9,713,598,177.81|8,826,917,863.79
所有者权益（或股东权益）：|||
实收资本（或股本）|注释 27|871,528,266.00|871,528,266.00
其他权益工具|||
其中：优先股|||
page|51
永续债|||
资本公积|注释 28|204,081,023.91|337,159,577.58
减：库存股|注释 29|100,138,400.00|105,250,400.00
其他综合收益|注释 30|2,719,069.68|2,587,896.36
专项储备|注释 31|90,403,826.16|70,058,407.16
盈余公积|注释 32|419,793,411.02|471,792,757.35
一般风险准备|||
未分配利润|注释 33|8,288,572,591.88|5,993,714,334.70
归属于母公司所有者权益（或股东权益）合计||9,776,959,788.65|7,641,590,839.15
少数股东权益||287,976,946.60|251,348,840.15
所有者权益（或股东权益）合计||10,064,936,735.25|7,892,939,679.30
负债和所有者权益（或股东权益）总计||19,778,534,913.06|16,719,857,543.09
