page|54
项目|附注六|2020 年度|2019 年度
一、营业总收入|注释 34|13,989,804,850.80|11,892,584,392.29
其中：营业收入||13,989,804,850.80|11,892,584,392.29
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|注释 34|9712703696.75|8872041419.68
其中：营业成本||3,895,511,990.82|3,167,698,589.76
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|注释 35|2,503,306,673.40|2,349,336,434.55
销售费用|注释 36|2,276,161,799.77|2,544,234,901.18
管理费用|注释 37|1,089,080,994.50|891,383,836.00
研发费用|注释 38|16,666,449.46|22,261,634.53
财务费用|注释 39|-68,024,211.20|-102,873,976.34
其中：利息费用||6,987,929.96|
利息收入||80,437,334.39|105,311,609.05
加：其他收益|注释 40|2,604,241.76|616,652.33
投资收益（损失以“－”号填列） 注释 41||-48,775,854.25|-97,798,371.62
其中：对联营企业和合营企业的投资收益||-572,130.16|
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|注释 42|3,949,892.93|4,987,061.76
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）|注释 43|10.77|989,947.39
三、营业利润（亏损以“－”号填列）||4,234,879,445.26|2,929,338,262.47
加：营业外收入|注释 44|5,516,516.35|3,167,487.54
减：营业外支出|注释 45|3,779,665.21|1,525,793.03
四、利润总额（亏损总额以“－”号填列）||4,236,616,296.40|2,930,979,956.98
减：所得税费用|注释 46|1,120,754,493.37|814,908,049.67
五、净利润（净亏损以“－”号填列）||3,115,861,803.03|2,116,071,907.31
（一）按经营持续性分类|||
page|55
1.持续经营净利润（净亏损以“－”号填列）||3,115,861,803.03|2,116,071,907.31
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||3,079,233,696.58|1,968,933,334.26
2.少数股东损益（净亏损以“-”号填列）||36,628,106.45|147,138,573.05
六、其他综合收益的税后净额||131,173.32|860,824.90
（一）归属母公司所有者的其他综合收益的税后净额||131,173.32|860,824.90
1．不能重分类进损益的其他综合收益||131,173.32|860,824.90
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|注释 30|131,173.32|860,824.90
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||3,115,992,976.35|2,116,932,732.21
（一）归属于母公司所有者的综合收益总额||3,079,364,869.90|1,969,794,159.16
（二）归属于少数股东的综合收益总额||36,628,106.45|147,138,573.05
八、每股收益：|||
（一）基本每股收益(元/股)||3.5504|2.2691
（二）稀释每股收益(元/股)||3.5366|2.2691
