page|58
项目|附注六|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||13,594,921,471.08|13,496,487,723.54
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||24,172,281.32|4,325,117.16
收到其他与经营活动有关的现金|注释 47|139,807,485.96|86,324,520.73
经营活动现金流入小计||13,758,901,238.36|13,587,137,361.43
购买商品、接受劳务支付的现金||4,148,951,099.17|3,376,810,879.95
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,197,862,351.97|1,652,466,095.70
支付的各项税费||4,733,990,922.66|4,811,725,103.47
支付其他与经营活动有关的现金|注释 47|668,276,460.76|772,069,097.00
经营活动现金流出小计||11,749,080,834.56|10,613,071,176.12
经营活动产生的现金流量净额||2,009,820,403.80|2,974,066,185.31
二、投资活动产生的现金流量：|||
收回投资收到的现金||5,168,700,000.00|1,412,503,372.79
取得投资收益收到的现金||50,103,401.30|92,847,592.83
page|59
处置固定资产、无形资产和其他长期资产收回的现金净额||417,704.22|20,995,812.08
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|注释 47||8,067,069.27
投资活动现金流入小计||5,219,221,105.52|1,534,413,846.97
购建固定资产、无形资产和其他长期资产支付的现金||195,822,132.58|161,368,576.12
投资支付的现金||5,763,200,000.00|1,341,453,372.79
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|注释 47||3,536,344.55
投资活动现金流出小计||5,959,022,132.58|1,506,358,293.46
投资活动产生的现金流量净额||-739,801,027.06|28,055,553.51
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||109,510,400.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|注释 47||10,000,000.00
筹资活动现金流入小计|||119,510,400.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||789,852,452.71|641,230,530.89
其中：子公司支付给少数股东的股利、利润|||9,240,000.00
支付其他与筹资活动有关的现金|注释 47|579,549,623.87|387,187,737.40
筹资活动现金流出小计||1,369,402,076.58|1,028,418,268.29
筹资活动产生的现金流量净额||-1,369,402,076.58|-908,907,868.29
四、汇率变动对现金及现金等价物的影响||-1,204,316.68|89,507.06
五、现金及现金等价物净增加额||-100,587,016.52|2,093,303,377.59
加：期初现金及现金等价物余额||3,467,789,537.97|1,374,486,160.38
六、期末现金及现金等价物余额||3,367,202,521.45|3,467,789,537.97
