page|113
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||123,590,057,286.07|117,060,210,768.25
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||573,484,662.75|609,421,213.54
收到其他与经营活动有关的现金||2,107,024,038.23|2,125,445,743.63
存放中央银行款项净减少额||469,576,869.52|
经营活动现金流入小计||126,740,142,856.57|119,795,077,725.42
购买商品、接受劳务支付的现金||91,055,138,000.11|81,652,247,438.53
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||422,438,256.18
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||7,005,688,851.20|5,947,850,131.83
支付的各项税费||9,955,216,756.43|9,321,711,435.00
支付其他与经营活动有关的现金||4,990,230,538.54|6,995,096,672.79
page|114
经营活动现金流出小计||113,006,274,146.28|104,339,343,934.33
经营活动产生的现金流量净额||13,733,868,710.29|15,455,733,791.09
二、投资活动产生的现金流量：|||
收回投资收到的现金||585,404,750.43|43,401,296.64
取得投资收益收到的现金||497,064,329.76|461,811,405.61
处置固定资产、无形资产和其他长期资产收回的现金净额||1,773,558,046.91|896,792,631.50
处置子公司及其他营业单位收到的现金净额|||83,438,433.80
收到其他与投资活动有关的现金||3,448,489,293.56|2,137,375,219.83
投资活动现金流入小计||6,304,516,420.66|3,622,818,987.38
购建固定资产、无形资产和其他长期资产支付的现金||5,005,039,614.17|3,170,851,850.68
投资支付的现金||2,838,946,005.00|325,483,117.42
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||211,818,894.34|
处置子公司及其他营业单位减少的现金净额||68,888,006.26|
支付其他与投资活动有关的现金||4,582,956,016.26|2,691,410,864.43
投资活动现金流出小计||12,707,648,536.03|6,187,745,832.53
投资活动产生的现金流量净额||-6,403,132,115.37|-2,564,926,845.15
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||2,198,736,059.83|8,402,000,000.00
其中：子公司吸收少数股东投资收到的现金||2,198,736,059.83|8,402,000,000.00
发行债券收到的现金||16,027,469,811.32|15,268,566,484.97
发行永续债收到的现金||8,449,000,000.00|2,550,000,000.00
取得借款收到的现金||38,805,003,832.80|59,424,955,165.80
收到其他与筹资活动有关的现金||2,483,557,388.94|720,300,000.00
筹资活动现金流入小计||67,963,767,092.89|86,365,821,650.77
偿还债务支付的现金||49,586,345,297.76|71,398,065,576.00
分配股利、利润或偿付利息支付的现金||7,635,972,891.46|8,545,474,280.68
其中：子公司支付给少数股东的股利、利润||1,018,455,288.78|915,336,940.92
偿还债券支付的现金||11,824,305,000.00|10,559,802,000.00
偿还永续债支付的现金||11,982,000,000.00|990,000,000.00
支付其他与筹资活动有关的现金||1,145,467,387.37|944,300,118.90
筹资活动现金流出小计||82,174,090,576.59|92,437,641,975.58
筹资活动产生的现金流量净额||-14,210,323,483.70|-6,071,820,324.81
四、汇率变动对现金及现金等价物的影响||-24,295,748.63|3,313,629.33
五、现金及现金等价物净增加额||-6,903,882,637.41|6,822,300,250.46
加：期初现金及现金等价物余额||22,149,845,547.97|15,327,545,297.51
page|115
六、期末现金及现金等价物余额||15,245,962,910.56|22,149,845,547.97
