page|42
项目|2020 年|2019 年|变动额
经营活动现金流入小计|104,813,841|60,265,707|44,548,134
经营活动现金流出小计|(59,520,382)|(67,271,442)|7,751,060
经营活动产生的现金流量净额|45,293,459|(7,005,735)|52,299,194
投资活动现金流入小计|64,083,888|58,989,100|5,094,788
投资活动现金流出小计|(94,455,167)|(49,173,454)|(45,281,713)
投资活动产生的现金流量净额|(30,371,279)|9,815,646|(40,186,925)
筹资活动现金流入小计|60,472,387|85,760,858|(25,288,471)
筹资活动现金流出小计|(68,584,571)|(76,285,531)|7,700,960
筹资活动产生的现金流量净额|(8,112,184)|9,475,327|(17,587,511)
汇率变动对现金及现金等价物的影响|(31,264)|3,329|(34,593)
现金及现金等价物净增加额|6,778,732|12,288,567|(5,509,835)
page|43
项目|2020 年 12 月 31 日|2019 年 12 月 31 日|增减幅度 （%）|主要原因
存放同业及其他金融机构款项|2,568,919|1,312,468|95.73|子公司存放同业款项增加
拆出资金|-|3,313,603|(100.00)|主要是同业市场利率下行，本公司调整资金配置，适当压缩同业拆出资金规模
衍生金融资产|286,400|12,436|2,202.99|利率互换及其他衍生金融工具公允价值重估增加
买入返售金融资产|9,726,476|2,325,771|318.20|买入返售债券规模增加
以公允价值计量且其变动计入当期损益的金融投资|37,250,405|22,912,561|62.58|主要是增加了流动性较强且具备免税优势的公募债券型基金投资
无形资产|252,518|194,243|30.00|计算机软件增加
递延所得税资产|2,468,017|1,581,905|56.02|资产减值准备产生的递延所得税资产增加
其他资产|1,522,962|622,410|144.69|继续涉入资产增加
向中央银行借款|11,207,069|5,536,650|102.42|落实央行政策导向，积极申请支小再贷款及再贴现，增加小微企业信贷资金来源，支持实体经济发展
拆入资金|12,947,575|9,916,257|30.57|子公司拆入资金增加
衍生金融负债|288,347|8,805|3,174.81|利率互换及其他衍生金融工具公允价值重估增加
卖出回购金融资产款|33,099,349|16,027,082|106.52|加强同业主动负债管理，调整同业负债期限结构，增加了卖出回购债券业务规模
应交税费|598,798|330,911|80.95|应交所得税增加
其他负债|3,748,839|1,223,298|206.45|代理业务应付款项及继续涉入负债增加
其他综合收益|32,717|658,230|(95.03)|以公允价值计量且其变动计入其他综合收益的金融投资公允价值变动减少
