page|89
项目|附注五|本期金额|上期金额
一、营业总收入||8,215,896,691.46|8,679,910,968.83
其中：营业收入|（四十四）|8,215,896,691.46|8,679,910,968.83
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||8,230,886,523.86|8,551,245,624.82
其中：营业成本|（四十四）|6,702,634,989.40|6,839,412,732.26
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十五）|49,038,368.32|45,665,501.85
销售费用|（四十六）|302,062,514.58|493,035,930.93
管理费用|（四十七）|505,436,070.79|489,276,598.91
研发费用|（四十八）|392,960,107.28|411,881,794.27
财务费用|（四十九）|278,754,473.49|271,973,066.60
其中：利息费用||294,176,351.42|308,798,179.82
利息收入||39,086,364.55|36,985,013.92
加：其他收益|（五十）|140,883,223.34|195,359,183.41
投资收益（损失以“-”号填列）|（五十一）|388,534,387.28|216,778,702.33
其中：对联营企业和合营企业的投资收益||12,316,781.15|94,883,192.46
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（五十二）|3,331,505.28|-558,794.32
信用减值损失（损失以“-”号填列）|（五十三）|-129,177,717.79|-81,944,885.88
资产减值损失（损失以“-”号填列）|（五十四）|-75,921,853.98|-87,063,448.24
资产处置收益（损失以“-”号填列）|（五十五）|-3,902,075.09|1,359,949.18
三、营业利润（亏损以“-”号填列）||308,757,636.64|372,596,050.49
加：营业外收入|（五十六）|4,571,199.96|8,205,029.97
减：营业外支出|（五十七）|50,475,636.17|27,630,617.84
四、利润总额（亏损总额以“-”号填列）||262,853,200.43|353,170,462.62
减：所得税费用|（五十八）|57,719,185.81|-21,964,181.68
五、净利润（净亏损以“-”号填列）||205,134,014.62|375,134,644.30
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||205,134,014.62|375,134,644.30
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||138,004,106.09|269,808,780.07
2．少数股东损益（净亏损以“-”号填列）||67,129,908.53|105,325,864.23
六、其他综合收益的税后净额||-876,637,701.64|205,762,453.70
归属于母公司所有者的其他综合收益的税后净额||-876,637,701.64|205,762,453.70
（一）不能重分类进损益的其他综合收益||-876,239,357.47|207,538,762.47
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益||-11,748,951.02|-11,954,868.18
3．其他权益工具投资公允价值变动||-864,490,406.45|219,493,630.65
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-398,344.17|-1,776,308.77
1．权益法下可转损益的其他综合收益||-398,344.17|-1,383,922.46
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||-392,386.31
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额|||
7．其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-671,503,687.02|580,897,098.00
归属于母公司所有者的综合收益总额||-738,633,595.55|475,571,233.77
归属于少数股东的综合收益总额||67,129,908.53|105,325,864.23
八、每股收益：|（五十九）||
（一）基本每股收益（元/股）||0.10|0.24
（二）稀释每股收益（元/股）||0.10|0.24
