page|77
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||54,895,933,342.91|53,494,516,840.68
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||12,597,807.68|22,552,667.34
收到其他与经营活动有关的现金|（七十八）|1,268,122,616.96|2,006,272,604.22
经营活动现金流入小计||56,176,653,767.55|55,523,342,112.24
购买商品、接受劳务支付的现金||44,695,007,813.44|43,460,618,853.93
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||3,329,099,100.05|3,236,888,668.03
page|78
支付的各项税费||1,638,892,370.40|1,405,113,169.09
支付其他与经营活动有关的现金|（七十八）|2,790,274,923.92|3,030,528,891.81
经营活动现金流出小计||52,453,274,207.81|51,133,149,582.86
经营活动产生的现金流量净额||3,723,379,559.74|4,390,192,529.38
二、投资活动产生的现金流量：|||
收回投资收到的现金||191,587,769.71|1,585,911,341.51
取得投资收益收到的现金||151,529,086.84|221,592,450.15
处置固定资产、无形资产和其他长期资产收回的现金净额||41,862,875.22|345,212,125.93
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（七十八）|4,957,547.56|5,181,091.01
投资活动现金流入小计||389,937,279.33|2,157,897,008.60
购建固定资产、无形资产和其他长期资产支付的现金||1,553,074,023.29|1,449,162,942.48
投资支付的现金||1,398,514,454.64|280,647,096.83
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||95,805,317.35
支付其他与投资活动有关的现金|（七十八）|7,319,094.78|290,072,828.42
投资活动现金流出小计||2,958,907,572.71|2,115,688,185.08
投资活动产生的现金流量净额||-2,568,970,293.38|42,208,823.52
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||15,025,326.75|196,800,000.00
其中：子公司吸收少数股东投资收到的现金||15,025,326.75|46,800,000.00
取得借款收到的现金||5,701,263,174.84|3,885,033,115.87
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||5,716,288,501.59|4,081,833,115.87
偿还债务支付的现金||4,933,621,238.36|3,779,824,270.00
分配股利、利润或偿付利息支付的现金||603,411,175.55|590,397,024.81
其中：子公司支付给少数股东的股利、利润||177,852,276.57|242,445,429.26
支付其他与筹资活动有关的现金|（七十八）|1,932,921,351.53|1,299,483,472.40
筹资活动现金流出小计||7,469,953,765.44|5,669,704,767.21
筹资活动产生的现金流量净额||-1,753,665,263.85|-1,587,871,651.34
四、汇率变动对现金及现金等价物的影响||-338,945.47|-37,371.71
五、现金及现金等价物净增加额||-599,594,942.96|2,844,492,329.85
加：期初现金及现金等价物余额||14,197,047,461.33|11,352,555,131.48
六、期末现金及现金等价物余额||13,597,452,518.37|14,197,047,461.33
