page|70
项目|附注五|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|（一）|15,474,281,806.58|16,259,867,066.42
结算备付金|||
拆出资金|||
交易性金融资产|（二）|1,209,818,443.39|259,979,758.25
衍生金融资产|||
应收票据|||
应收账款|（五）|770,519,750.49|856,946,492.73
应收款项融资|||
预付款项|（七）|198,736,480.98|260,881,813.87
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（八）|722,991,391.91|360,452,515.70
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|（九）|3,367,970,929.38|3,236,347,515.86
合同资产|||
持有待售资产|||
一年内到期的非流动资产|（十二）|26,134,413.46|
其他流动资产|（十三）|708,023,088.06|427,478,379.36
流动资产合计||22,478,476,304.25|21,661,953,542.19
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|（十六）|81,903,978.33|226,066,439.32
长期股权投资|（十七）|1,324,764,171.69|1,307,961,635.43
其他权益工具投资|（十八）|3,785,224,300.99|4,164,353,358.52
其他非流动金融资产|（十九）|52,229,047.18|57,683,945.42
投资性房地产|（二十）|126,132,937.86|135,014,216.52
固定资产|（二十一）|14,769,649,020.78|14,689,075,356.29
在建工程|（二十二）|562,425,122.20|224,108,135.43
生产性生物资产|||
油气资产|||
使用权资产|（二十五）|9,245,913,710.47|6,182,626,661.77
无形资产|（二十六）|3,845,136,960.02|3,989,317,031.68
开发支出|||
商誉|（二十八）|138,907,856.22|138,907,856.22
长期待摊费用|（二十九）|1,105,780,057.33|1,205,813,630.81
page|71
递延所得税资产|（三十）|131,820,109.18|68,602,418.92
其他非流动资产|（三十一）|196,882,889.84|212,498,055.37
非流动资产合计||35,366,770,162.09|32,602,028,741.70
资产总计||57,845,246,466.34|54,263,982,283.89
流动负债：|||
短期借款|（三十二）|1,397,861,888.18|770,636,018.34
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|（三十六）|5,492,776,467.05|6,064,081,417.91
预收款项|（三十七）|134,657,922.02|156,064,472.72
合同负债|（三十八）|5,888,091,051.83|5,634,245,459.92
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（三十九）|642,201,405.59|680,326,139.67
应交税费|（四十）|488,277,642.34|625,192,496.50
其他应付款|（四十一）|6,143,226,613.36|5,917,363,068.82
其中：应付利息|||
应付股利||150,011,773.27|35,035,885.05
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|（四十三）|1,774,790,594.82|1,492,491,114.52
其他流动负债|（四十四）|2,372,368,287.18|2,429,924,450.61
流动负债合计||24,334,251,872.37|23,770,324,639.01
非流动负债：|||
保险合同准备金|||
长期借款|（四十五）|1,547,894,431.65|1,141,641,125.77
应付债券|||
其中：优先股|||
永续债|||
租赁负债|（四十七）|9,880,754,978.15|6,247,684,155.75
长期应付款|（四十八）|29,326,988.78|29,326,988.78
长期应付职工薪酬|（四十九）|259,600,000.00|209,610,000.00
预计负债|（五十）|122,826,563.62|130,500,000.00
递延收益|（五十一）|183,402,114.18|191,038,206.63
递延所得税负债|（三十）|1,015,673,138.14|1,074,077,823.08
其他非流动负债|||
非流动负债合计||13,039,478,214.52|9,023,878,300.01
负债合计||37,373,730,086.89|32,794,202,939.02
所有者权益（或股东权益）：|||
实收资本（或股本）|（五十三）|1,784,168,117.00|1,784,168,117.00
其他权益工具|||
其中：优先股|||
page|72
永续债|||
资本公积|（五十五）|3,051,080,458.41|3,050,365,206.83
减：库存股|||
其他综合收益|（五十七）|2,449,660,391.27|2,767,941,419.47
专项储备|（五十八）|12,924,000.00|13,224,000.00
盈余公积|（五十九）|1,458,997,663.42|1,458,997,663.42
一般风险准备|||
未分配利润|（六十）|9,147,188,395.30|9,212,554,101.48
归属于母公司所有者权益（或股东权益）合计||17,904,019,025.40|18,287,250,508.20
少数股东权益||2,567,497,354.05|3,182,528,836.67
所有者权益（或股东权益）合计||20,471,516,379.45|21,469,779,344.87
负债和所有者权益（或股东权益）总计||57,845,246,466.34|54,263,982,283.89
