page|74
项目|附注五|2021 年度|2020 年度
一、营业总收入||34,650,149,417.03|35,220,504,995.67
其中：营业收入|（六十一）|34,650,149,417.03|35,220,504,995.67
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||33,763,922,072.69|34,431,760,277.50
其中：营业成本|（六十一）|25,388,774,955.42|26,309,394,642.83
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十二）|367,554,571.19|315,959,868.48
销售费用|（六十三）|5,762,057,262.95|5,786,211,188.07
管理费用|（六十四）|2,078,966,282.22|2,000,661,632.87
研发费用|（六十五）|21,762,457.27|17,421,246.12
财务费用|（六十六）|144,806,543.64|2,111,699.13
其中：利息费用||647,990,743.51|459,116,478.04
利息收入||541,513,505.29|498,847,136.06
加：其他收益|（六十七）|68,412,478.19|318,400,222.33
投资收益（损失以“－”号填列）|（六十八）|158,535,778.11|252,106,016.47
其中：对联营企业和合营企业的投资收益||35,848,293.51|-113,811,229.77
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|75
公允价值变动收益（损失以“－”号填列）|（七十）|14,397,154.57|-57,011,984.85
信用减值损失（损失以“-”号填列）|（七十一）|-18,721,516.53|-4,636,271.05
资产减值损失（损失以“-”号填列）|（七十二）|-105,928,563.37|-101,798,119.03
资产处置收益（损失以“－”号填列）|（七十三）|59,708,781.95|324,957,046.31
三、营业利润（亏损以“－”号填列）||1,062,631,457.26|1,520,761,628.35
加：营业外收入|（七十四）|139,229,022.12|144,910,434.64
减：营业外支出|（七十五）|22,227,569.03|271,881,295.85
四、利润总额（亏损总额以“－”号填列）||1,179,632,910.35|1,393,790,767.14
减：所得税费用|（七十六）|546,845,564.62|631,395,792.81
五、净利润（净亏损以“－”号填列）||632,787,345.73|762,394,974.33
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||632,787,345.73|762,394,974.33
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||752,519,163.60|770,214,859.21
2.少数股东损益（净亏损以“-”号填列）||-119,731,817.87|-7,819,884.88
六、其他综合收益的税后净额||-204,216,570.76|-635,473,176.71
（一）归属母公司所有者的其他综合收益的税后净额||-202,496,498.08|-633,912,017.64
1．不能重分类进损益的其他综合收益||-202,496,498.08|-633,912,017.64
（1）重新计量设定受益计划变动额||-44,421,360.00|-3,527,100.00
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-158,075,138.08|-630,384,917.64
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-1,720,072.68|-1,561,159.07
七、综合收益总额||428,570,774.97|126,921,797.62
page|76
（一）归属于母公司所有者的综合收益总额||550,022,665.52|136,302,841.57
（二）归属于少数股东的综合收益总额||-121,451,890.55|-9,381,043.95
八、每股收益：|||
（一）基本每股收益(元/股)||0.42|0.43
（二）稀释每股收益(元/股)||0.42|0.43
