page|107
项目|附注|2019 年度|2018 年度
一、营业总收入||14,803,517,124|13,114,041,327
其中：营业收入|七（60）|14,803,517,124|13,114,041,327
二、营业总成本||13,810,234,598|12,509,999,994
其中：营业成本|七（60）|13,114,555,625|11,844,399,916
税金及附加|七（61）|17,425,877|15,457,564
销售费用|七（62）|261,073,832|259,791,430
管理费用|七（63）|181,599,773|201,723,323
研发费用|七（64）|125,166,617|104,918,909
财务费用|七（65）|110,412,874|83,708,852
其中：利息费用||240,140,968|230,789,676
利息收入||189,246,100|228,553,350
加：其他收益|七（67）|1,353,643,201|1,303,448,048
投资收益（损失以“－”号填列）|七（68）|12,335,615|-21,392,298
其中：对联营企业和合营企业的投资收益||-1,781,403|-5,487,042
公允价值变动收益（损失以“－”号填列）|七（70）|-16,261,748|25,538,021
信用减值损失（损失以“-”号填列）|七（71）|-32,330,054|-
资产减值损失（损失以“-”号填列）|七（72）|-3,765,060|-
资产处置收益（损失以“－”号填列）|七（73）|3,833,837|6,734,021
三、营业利润（亏损以“－”号填列）||2,310,738,317|1,918,369,125
加：营业外收入|七（74）|96,707,801|86,926,956
减：营业外支出|七（75）|3,239,258|2,998,277
四、利润总额（亏损总额以“－”号填列）||2,404,206,860|2,002,297,804
减：所得税费用|七（76）|566,016,878|499,457,770
五、净利润（净亏损以“－”号填列）||1,838,189,982|1,502,840,034
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,838,189,982|1,502,840,034
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,841,007,063|1,502,840,034
2.少数股东损益（净亏损以“-”号填列）||-2,817,081|-
六、其他综合收益的税后净额|七（77）|56,955,663|65,913,718
（一）归属母公司所有者的其他综合收益的税后净额||56,955,663|65,913,718
1．不能重分类进损益的其他综合收益||56,955,663|-
page|108
项目|附注|2019 年度|2018 年度
（1）其他权益工具投资公允价值变动||56,955,663|-
2．将重分类进损益的其他综合收益||-|65,913,718
（1）可供出售金融资产公允价值变动损益||-|65,913,718
七、综合收益总额||1,895,145,645|1,568,753,752
（一）归属于母公司所有者的综合收益总额||1,897,962,726|1,568,753,752
（二）归属于少数股东的综合收益总额||-2,817,081|-
八、每股收益：|||
（一）基本每股收益(元/股)||2.01|1.67
（二）稀释每股收益(元/股)||2.01|1.67
