page|94
项目|附注七|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|1|3,087,441,509.73|1,861,876,045.49
应收账款|2|19,949,791.11|15,458,362.77
应收款项融资|3|388,531,730.01|124,866,625.46
预付款项|4|185,473,681.65|166,115,716.87
其他应收款|5|173,790,650.02|45,037,814.86
存货|6|803,321,868.19|754,738,627.44
其他流动资产|7|205,285,624.98|206,872,985.04
流动资产合计||4,863,794,855.69|3,174,966,177.93
非流动资产：|||
固定资产|8|25,179,498,379.65|17,903,776,394.79
在建工程|9|2,531,762,057.27|7,043,511,626.20
无形资产|10|3,800,862,684.71|3,220,827,623.55
商誉|11|1,123,507,836.71|1,123,507,836.71
长期待摊费用|12|6,404,575.12|15,670,792.64
递延所得税资产|13|24,506,055.21|12,341,351.31
其他非流动资产|14|574,676,435.60|800,139,775.64
非流动资产合计||33,241,218,024.27|30,119,775,400.84
资产总计||38,105,012,879.96|33,294,741,578.77
流动负债：|||
短期借款|16|400,361,111.11|180,000,000.00
应付票据|17|330,579,348.59|548,014,304.56
应付账款|18|437,340,965.11|505,016,547.31
预收款项|19|-|317,869,363.18
合同负债|20|493,912,636.51|-
应付职工薪酬|21|225,979,587.67|120,044,189.02
应交税费|22|353,857,054.56|272,409,626.20
其他应付款|23|1,985,853,558.79|1,713,455,371.59
其中：应付利息||-|15,079,820.04
一年内到期的非流动负债|24|1,407,213,255.11|1,873,916,414.92
流动负债合计||5,635,097,517.45|5,530,725,816.78
非流动负债：|||
长期借款|25|4,677,950,788.30|2,643,000,000.00
应付债券|26|-|43,415,811.08
page|95
项目|附注七|2020 年 12 月 31 日|2019 年 12 月 31 日
长期应付款|27|1,687,333,553.23|1,595,537,212.72
预计负债|28|70,826,678.48|48,465,744.83
递延收益|29|87,143,662.40|81,400,324.91
递延所得税负债|13|46,313,135.09|-
非流动负债合计||6,569,567,817.50|4,411,819,093.54
负债合计||12,204,665,334.95|9,942,544,910.32
所有者权益（或股东权益）：|||
实收资本（或股本）|30|7,333,360,000.00|7,333,360,000.00
资本公积|31|7,267,767,308.67|7,267,767,308.67
专项储备|32|127,613,378.57|149,249,368.92
盈余公积|33|1,374,974,077.54|924,780,806.81
未分配利润|34|9,796,632,780.23|7,677,039,184.05
归属于母公司所有者权益（或股东权益）合计||25,900,347,545.01|23,352,196,668.45
所有者权益（或股东权益）合计||25,900,347,545.01|23,352,196,668.45
负债和所有者权益（或股东权益）总计||38,105,012,879.96|33,294,741,578.77
