page|98
项目|附注七|2020 年度|2019 年度
一、营业总收入||15,927,728,889.05|13,568,199,157.86
其中：营业收入|35|15,927,728,889.05|13,568,199,157.86
二、营业总成本||10,409,593,207.26|9,027,365,209.06
其中：营业成本|35|8,744,572,767.71|7,604,612,878.07
税金及附加|36|210,633,031.03|159,957,144.35
销售费用|37|536,981,000.26|443,336,858.50
管理费用|38|517,436,723.34|442,006,615.62
研发费用|39|100,046,307.60|53,420,513.15
财务费用|40|299,923,377.32|324,031,199.37
其中：利息费用||228,105,313.12|317,060,102.25
利息收入||45,389,062.64|45,541,549.90
加：其他收益|41|31,910,123.77|20,871,867.64
投资收益（损失以“－”号填列）|42|4,258,601.51|-
信用减值损失（损失以“-”号填列）|43|-1,348,838.26|78,198,135.73
资产处置收益（损失以“－”号填列）|44|-16,726,423.25|-8,026,370.54
三、营业利润（亏损以“－”号填列）||5,536,229,145.56|4,631,877,581.63
加：营业外收入|45|25,453,468.21|55,345,934.79
减：营业外支出|46|312,993,510.96|301,788,548.08
四、利润总额（亏损总额以“－”号填列）||5,248,689,102.81|4,385,434,968.34
减：所得税费用|49|625,921,058.94|583,561,664.72
五、净利润（净亏损以“－”号填列）||4,622,768,043.87|3,801,873,303.62
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||4,622,768,043.87|3,801,873,303.62
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||4,622,768,043.87|3,801,873,303.62
六、综合收益总额||4,622,768,043.87|3,801,873,303.62
（一）归属于母公司所有者的综合收益总额||4,622,768,043.87|3,801,873,303.62
七、每股收益：|48||
（一）基本每股收益（元/股）||0.63|0.54
（二）稀释每股收益（元/股）||0.63|0.54
