page|100
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||14,276,610,416.07|10,651,729,056.18
收到其他与经营活动有关的现金|50（1）|101,474,087.99|101,052,502.23
经营活动现金流入小计||14,378,084,504.06|10,752,781,558.41
购买商品、接受劳务支付的现金||5,619,420,088.39|3,481,063,826.38
支付给职工及为职工支付的现金||1,261,769,828.29|1,305,772,093.33
支付的各项税费||1,728,705,677.65|1,579,086,374.82
支付其他与经营活动有关的现金|50（2）|584,474,243.57|814,273,232.08
经营活动现金流出小计||9,194,369,837.90|7,180,195,526.61
经营活动产生的现金流量净额|51（1）|5,183,714,666.16|3,572,586,031.80
二、投资活动产生的现金流量：|||
处置子公司及其他营业单位收到的现金净额|51（2）|121,032,690.45|-
收到其他与投资活动有关的现金|50（3）|-|1,150,283,541.67
投资活动现金流入小计||121,032,690.45|1,150,283,541.67
购建固定资产、无形资产和其他长期资产支付的现金||2,573,944,289.49|4,540,541,585.66
支付其他与投资活动有关的现金|50（4）|228.77|582,440,697.26
投资活动现金流出小计||2,573,944,518.26|5,122,982,282.92
投资活动产生的现金流量净额||-2,452,911,827.81|-3,972,698,741.25
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|8,000,000,000.00
取得借款收到的现金||3,347,300,000.00|2,280,000,000.00
收到其他与筹资活动有关的现金|50（5）|45,000,000.00|521,337,792.55
筹资活动现金流入小计||3,392,300,000.00|10,801,337,792.55
偿还债务支付的现金||2,011,149,211.70|5,969,328,000.00
分配股利、利润或偿付利息支付的现金||2,333,851,482.99|2,473,797,115.23
支付其他与筹资活动有关的现金|50（6）|315,844,507.08|771,265,003.68
筹资活动现金流出小计||4,660,845,201.77|9,214,390,118.91
筹资活动产生的现金流量净额||-1,268,545,201.77|1,586,947,673.64
四、汇率变动对现金及现金等价物的影响||483.81|1,119,122.09
五、现金及现金等价物净增加额||1,462,258,120.39|1,187,954,086.28
加：期初现金及现金等价物余额||1,563,650,156.21|375,696,069.93
六、期末现金及现金等价物余额|51（3）|3,025,908,276.60|1,563,650,156.21
