page|87
编制单位：新兴铸管股份有限公司|||（除特别注明外，金额单位均为人民币元）
项目|附注六|本期金额|上期金额
一、营业收入|注释45|53,301,106,059.49|42,960,921,062.41
减： 营业成本|注释45|47,879,945,459.62|37,377,187,895.31
税金及附加|注释46|332,905,608.10|380,581,485.30
销售费用|注释47|437,180,566.36|411,003,477.02
管理费用|注释48|770,505,105.57|782,138,577.52
研发费用|注释49|528,636,731.88|412,860,827.64
财务费用|注释50|387,026,985.11|418,289,693.28
其中：利息费用||507,100,986.74|615,214,552.07
利息收入||149,257,949.17|227,957,442.53
加： 其他收益|注释51|82,976,962.11|93,386,082.04
投资收益（损失以“-”号填列）|注释52|502,500,870.41|427,186,111.41
其中：对联营企业和合营企业的投资收益||470,232,449.11|413,566,151.90
以摊余成本计量的金融资产终止确认收益|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|||
信用减值损失（损失以“-”号填列）|注释53|-321,695,632.01|-607,057,053.06
资产减值损失（损失以“-”号填列）|注释54|-401,954,763.86|-697,058,262.69
资产处置收益（损失以“-”号填列）|注释55|161,690,075.08|398,288,857.26
二、营业利润（亏损以“- ”号填列）||2,988,423,114.58|2,793,604,841.30
加： 营业外收入|注释56|30,483,154.74|36,068,062.78
减： 营业外支出|注释57|75,015,905.39|121,751,461.66
三、利润总额（亏损总额以“- ”号填列）||2,943,890,363.93|2,707,921,442.42
减： 所得税费用|注释58|763,871,225.63|744,147,249.26
四、净利润（净亏损以“- ”号填列）||2,180,019,138.30|1,963,774,193.16
其中：同一控制下企业合并被合并方在合并前实现的净利润|||
（一）按经营持续性分类|||
持续经营净利润（净亏损以“-”号填列）||2,180,019,138.30|1,963,774,193.16
终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
归属于母公司所有者的净利润（净亏损以“-”号填列）||2,006,700,137.89|1,812,404,802.67
少数股东损益（净亏损以“-”号填列）||173,319,000.41|151,369,390.49
五、其他综合收益的税后净额||-10,932,819.99|-53,282,472.50
归属于母公司所有者的其他综合收益的税后净额||-10,416,691.99|-51,711,683.50
（一）不能重分类进损益的其他综合收益||-9,642,500.00|-49,355,500.00
1. 重新计量设定受益计划净变动额|||
2. 权益法下不能转损益的其他综合收益|||
3. 其他权益工具投资公允价值变动||-9,642,500.00|-49,355,500.00
4. 企业自身信用风险公允价值变动|||
5. 其他|||
（二）将重分类进损益的其他综合收益||-774,191.99|-2,356,183.50
1. 权益法下可转损益的其他综合收益|||
2. 其他债权投资公允价值变动|||
3. 金融资产重分类计入其他综合收益的金额|||
4. 其他债权投资信用减值准备|||
5. 现金流量套期储备|||
6. 外币财务报表折算差额||-774,191.99|-2,356,183.50
7. 一揽子处置子公司在丧失控制权之前产生的投资收益|||
8. 其他资产转换为公允价值模式计量的投资性房地产|||
9. 其他|||
归属于少数股东的其他综合收益的税后净额||-516,128.00|-1,570,789.00
六、综合收益总额||2,169,086,318.31|1,910,491,720.66
归属于母公司所有者的综合收益总额||1,996,283,445.90|1,760,693,119.17
归属于少数股东的综合收益总额||172,802,872.41|149,798,601.49
七、每股收益：|||
（一）基本每股收益||0.5028|0.4541
（二）稀释每股收益||0.5028|0.4541
