page|88
|合并现金流量表||
|2021年度||
编制单位：新兴铸管股份有限公司|||（除特别注明外，金额单位均为人民币元）
项 目|附注六|本期金额|上期金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||50,497,894,445.20|41,004,716,176.75
收到的税费返还||65,477,402.36|100,571,587.03
收到其他与经营活动有关的现金|注释59|666,405,291.26|660,628,652.63
经营活动现金流入小计||51,229,777,138.82|41,765,916,416.41
购买商品、接受劳务支付的现金||42,895,433,958.21|33,981,043,747.22
支付给职工以及为职工支付的现金||2,204,111,931.93|2,076,776,561.63
支付的各项税费||2,352,657,121.87|1,970,308,282.13
支付其他与经营活动有关的现金|注释59|608,546,300.82|618,172,831.32
经营活动现金流出小计||48,060,749,312.83|38,646,301,422.30
经营活动产生的现金流量净额||3,169,027,825.99|3,119,614,994.11
二、投资活动产生的现金流量：|||
收回投资所收到的现金||46,076,476.10|1,185,516,306.76
取得投资收益收到的现金||378,994,580.00|14,052,663.11
处置固定资产、无形资产和其他长期资产收回的现金净额||1,880,193.00|28,139,173.52
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|注释59||715,838,694.00
投资活动现金流入小计||426,951,249.10|1,943,546,837.39
购建固定资产、无形资产和其他长期资产支付的现金||3,094,619,950.98|883,475,733.87
投资支付的现金||15,931,066.67|598,377,500.00
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|注释59||7,000,210.65
投资活动现金流出小计||3,110,551,017.65|1,488,853,444.52
投资活动产生的现金流量净额||-2,683,599,768.55|454,693,392.87
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||490,000,000.00|610,000,000.00
其中：子公司吸收少数股东投资收到的现金||490,000,000.00|610,000,000.00
取得借款收到的现金||8,751,171,267.51|9,624,745,648.32
发行债券收到的现金||992,000,000.00|598,200,000.00
收到其他与筹资活动有关的现金|注释59||113,176,955.68
筹资活动现金流入小计||10,233,171,267.51|10,946,122,604.00
偿还债务支付的现金||9,836,432,966.85|11,225,474,563.09
分配股利、利润或偿付利息支付的现金||1,179,031,058.38|1,192,815,298.05
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|注释59|404,427,447.92|322,307,879.15
筹资活动现金流出小计||11,419,891,473.15|12,740,597,740.29
筹资活动产生的现金流量净额||-1,186,720,205.64|-1,794,475,136.29
四、汇率变动对现金及现金等价物的影响||-16,462,451.06|-28,938,867.10
五、现金及现金等价物净增加额||-717,754,599.26|1,750,894,383.59
加：期初现金及现金等价物余额||9,139,162,778.69|7,388,268,395.10
六、期末现金及现金等价物余额||8,421,408,179.43|9,139,162,778.69
（后附财务报表附注为合并财务报表的组成部分）|||
