page|67
项目|附注|2020 年度|2019 年度
一、营业总收入||522,299,747.01|354,970,862.79
其中：营业收入||522,299,747.01|354,970,862.79
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||526,704,203.13|370,244,264.00
其中：营业成本||461,721,792.42|296,496,214.63
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||535,677.36|823,991.13
销售费用||3,106,769.85|1,714,601.66
管理费用||47,666,661.71|64,366,879.97
研发费用||5,635,004.92|2,467,927.00
财务费用||8,038,296.87|4,374,649.61
其中：利息费用||8,080,072.75|4,373,713.69
利息收入||131,747.72|154,485.85
加：其他收益||3,576,880.17|1,949,742.64
投资收益（损失以“－”号填列）||-3,593,540.57|1,314,346.50
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填|||
page|68
列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-4,614,185.57|-157,224,644.36
资产减值损失（损失以“-”号填列）|||-25,540,385.74
资产处置收益（损失以“－”号填列）||-194,167.75|-5,868.40
三、营业利润（亏损以“－”号填列）||-9,229,469.84|-194,780,210.57
加：营业外收入||34,251,564.65|14,584,048.17
减：营业外支出||184,159.48|859,804.48
四、利润总额（亏损总额以“－”号填列）||24,837,935.33|-181,055,966.88
减：所得税费用||4,731,864.61|6,199,661.18
五、净利润（净亏损以“－”号填列）||20,106,070.72|-187,255,628.06
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||20,106,070.72|-187,255,628.06
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||14,494,505.46|-190,094,288.44
2.少数股东损益（净亏损以“-”号填列）||5,611,565.26|2,838,660.38
六、其他综合收益的税后净额||-4,554,598.65|-29,840,177.96
（一）归属母公司所有者的其他综合收益的税后净额||-4,554,598.65|-29,840,177.96
1．不能重分类进损益的其他综合收益||-4,554,598.65|-29,840,177.96
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-4,554,598.65|-29,840,177.96
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综|||
page|69
合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||15,551,472.07|-217,095,806.02
（一）归属于母公司所有者的综合收益总额||9,939,906.81|-219,934,466.40
（二）归属于少数股东的综合收益总额||5,611,565.26|2,838,660.38
八、每股收益：|||
（一）基本每股收益(元/股)||0.0287|-0.3765
（二）稀释每股收益(元/股)||0.0287|-0.3765
