page|73
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|2,360,929,905.49|1,651,594,243.67
结算备付金|||
拆出资金|||
交易性金融资产|七、2|62,770,825.60|61,460,997.35
衍生金融资产|||
应收票据|七、4|354,081,331.01|471,369,196.42
应收账款|七、5|682,729,875.60|775,893,214.75
应收款项融资|||
预付款项|七、7|89,027,453.55|137,870,210.70
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|65,941,010.48|114,972,243.50
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|937,876,798.08|1,137,870,669.95
合同资产|七、10|5,177,092.53|
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|3,909,824,745.81|4,094,409,222.27
流动资产合计||8,468,359,038.15|8,445,439,998.61
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|七、17|313,509,739.65|212,650,736.89
其他权益工具投资|七、18|15,394,568.52|9,030,555.28
其他非流动金融资产|七、19|305,517,057.13|273,761,296.00
投资性房地产|七、20|381,264,226.24|376,664,296.26
固定资产|七、21|1,043,053,277.64|858,307,190.46
在建工程|七、22|41,702,591.63|242,723,058.95
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|263,143,263.09|278,604,233.04
开发支出|七、27|8,510,150.56|3,733,199.11
商誉|七、28||
长期待摊费用|七、29|62,817,908.33|60,476,221.23
递延所得税资产|七、30|19,694,445.66|35,670,017.44
page|74
其他非流动资产|七、31|22,125,996.40|25,234,379.99
非流动资产合计||2,476,733,224.85|2,376,855,184.65
资产总计||10,945,092,263.00|10,822,295,183.26
流动负债：|||
短期借款|七、32|10,000,000.00|33,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、33|119,402,077.48|429,696,040.96
应付账款|七、36|1,318,708,684.57|1,462,879,939.08
预收款项|七、37|13,659,460.61|508,525,391.13
合同负债|七、38|572,702,710.52|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|448,885,731.01|401,872,028.24
应交税费|七、40|40,747,876.98|41,453,858.40
其他应付款|七、41|352,245,127.68|352,200,921.70
其中：应付利息||12,486.11|17,263.89
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|七、44|11,125,124.94|
流动负债合计||2,887,476,793.79|3,229,628,179.51
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|116,036,620.78|134,508,182.86
递延所得税负债|七、30|11,307,234.68|4,568,401.17
其他非流动负债|||
非流动负债合计||127,343,855.46|139,076,584.03
负债合计||3,014,820,649.25|3,368,704,763.54
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|1,213,650,273.00|1,213,650,273.00
其他权益工具|||
其中：优先股|||
永续债|||
page|75
资本公积|七、55|1,838,833,656.90|1,819,282,579.92
减：库存股|||
其他综合收益|七、57|2,327,412.98|
专项储备|||
盈余公积|七、59|432,550,536.94|315,841,548.10
一般风险准备|||
未分配利润|七、60|4,395,301,183.21|3,938,227,607.37
归属于母公司所有者权益（或股东权益）合计||7,882,663,063.03|7,287,002,008.39
少数股东权益||47,608,550.72|166,588,411.33
所有者权益（或股东权益）合计||7,930,271,613.75|7,453,590,419.72
负债和所有者权益（或股东权益）总计||10,945,092,263.00|10,822,295,183.26
