page|52
项目|附注|2020 年 12 月 31日|2019 年 12 月 31日
流动资产：|||
货币资金||2,662,500,791.41|1,968,492,625.20
结算备付金|||
拆出资金|||
交易性金融资产||179,401,547.64|69,292,968.43
衍生金融资产|||
应收票据|||5,694,702.64
应收账款||619,512,529.99|1,016,197,655.62
应收款项融资||623,705,518.07|724,939,089.50
预付款项||423,936,275.76|188,240,410.80
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||218,224,204.34|203,628,078.72
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||1,503,812,834.23|1,324,767,726.61
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||204,864,508.46|403,504,837.79
流动资产合计||6,435,958,209.90|5,904,758,095.31
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资||1,888,356.71|1,888,356.71
其他非流动金融资产|||
投资性房地产||166,438,691.65|172,079,019.21
固定资产||11,352,405,651.90|12,086,838,730.10
在建工程||400,655,497.43|92,318,111.45
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||223,191,901.84|230,712,072.32
开发支出|||
商誉|||
长期待摊费用|||
page|53
递延所得税资产||226,785,684.47|172,966,895.99
其他非流动资产||645,357,543.53|707,418,839.72
非流动资产合计||13,016,723,327.53|13,464,222,025.50
资产总计||19,452,681,537.43|19,368,980,120.81
流动负债：|||
短期借款||3,436,574,326.80|5,174,095,119.63
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||2,876,570,238.07|1,654,000,000.00
应付账款||2,087,928,558.21|1,717,360,865.81
预收款项|||290,925,248.58
合同负债||350,744,933.52|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||72,226,272.67|90,293,542.76
应交税费||368,789,098.23|79,032,748.42
其他应付款||17,192,105.69|26,230,732.50
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||1,122,386,438.38|1,162,585,298.20
其他流动负债||210,975,919.23|3,940,000.00
流动负债合计||10,543,387,890.80|10,198,463,555.90
非流动负债：|||
保险合同准备金|||
长期借款||2,579,855,584.19|2,924,944,738.55
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款||200,893,408.10|955,180,239.87
长期应付职工薪酬|||
预计负债|||
递延收益||16,718,400.08|9,692,749.36
递延所得税负债||25,225,891.41|8,732,350.62
其他非流动负债|||
非流动负债合计||2,822,693,283.78|3,898,550,078.40
负债合计||13,366,081,174.58|14,097,013,634.30
所有者权益（或股东权益）：|||
实收资本（或股本）||1,336,844,288.00|1,336,844,288.00
其他权益工具|||
其中：优先股|||
page|54
永续债|||
资本公积||1,333,081,291.92|1,333,081,291.92
减：库存股|||
其他综合收益||-1,437,414.50|-4,702,421.62
专项储备|||
盈余公积||232,825,311.21|221,781,089.42
一般风险准备|||
未分配利润||3,185,286,886.22|2,384,962,238.79
归属于母公司所有者权益（或股东权益）合计||6,086,600,362.85|5,271,966,486.51
少数股东权益|||
所有者权益（或股东权益）合计||6,086,600,362.85|5,271,966,486.51
负债和所有者权益（或股东权益）总计||19,452,681,537.43|19,368,980,120.81
