page|75
2019 年度合并及银行利润表||||
（除特别注明外，金额单位均为人民币百万元）||||
||合并||本行
项目|附注八|2019 年|2018 年|2018 年  2019 年
一、营业收入||63,129|55,488|61,574   54,334
利息收入|32|110,740|106,460|108,293    104,667
利息支出|32|(  61,161 )|(  60,907  )|(  59,755 )  (  59,684 )
利息净收入|32|49,579|45,553|48,538   44,983
手续费及佣金收入|33|8,565|9,494|8,087   8,841
手续费及佣金支出|33|(    1,179 )|(       615 )|(    1,163 )  (       600 )
手续费及佣金净收入|33|7,386|8,879|6,924  8,241
投资收益|34|5,824|281|5,797  381
其中：对联营及合营企业的||||
投资收益||141|2|141  2
以摊余成本计量的金融||||
资产终止确认损失||(           1 )|不适用|(           1 ) 不适用
公允价值变动收益|35|56|455|56  453
汇兑收益||142|161|143  161
其他业务收入|36|142|159|116  115
二、营业支出||(  37,778 )|(  31,900  )|(  36,831 )  (  31,071 )
税金及附加|37|(       546 )|(       529 )|(       541 )  (       524 )
业务及管理费|38|(  14,667 )|(  13,978  )|(  14,333 )  (  13,481 )
信用减值损失|39|(  22,547 )|(  17,376 )|(  21,939 )  (  17,049 )
其他业务成本||(         18 )|(         17 )|(         18 )  (         17 )
三、营业利润||25,351|23,588|24,743   23,263
加：营业外收入|40|117|79|115   54
减：营业外支出|41|(       321 )|(       145 )|(       321 )  (       144 )
四、利润总额||25,147|23,522|24,537  23,173
减：所得税费用|42|(    3,556 )|(    3,385 )|(    3,400 )  (    3,260 )
page|76
||合并|本行|
|附注|||
项目|八|2019 年|2018 年    2019 年|2018 年
六、其他综合收益的税后净额||1,383|3,998  1,381|3,973
归属于母公司股东的其他综合收益的税后||||
净额|26|1,381|3,990  1,381|3,973
(一)以后不能重分类进损益的其他综合收益||292|-  292|-
1.重新计量设定受益计划净负债或净资||||
产的变动||-|-  -|-
2.其他权益工具投资公允价值变动||292|不适用   292|不适用
(二)以后将重分类进损益的其他综合收益||1,089|3,990  1,089|3,973
1．其他债权投资公允价值变动||252|不适用  249|不适用
2．其他债权投资信用减值准备||663|不适用  666|不适用
3．可供出售金融资产公允价值变动||不适用|3,976    不适用|3,959
4．权益法下可转损益的其他综合收益||174|14   174|14
归属于少数股东的其他综合收益的税后净||||
额||2|8|
七、综合收益总额||22,974|24,135  22,518|23,886
