page|131
项目|附注|2019 年度 合并|2018 年度 合并|2019 年度 公司|2018 年度 公司
一、经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||1,504,062,812|1,244,549,400|118,794,506|111,286,762
收到的税费返还||89,985|45,940|563|-
收到其他与经营活动有关的现金|四(66)(a)|19,369,597|34,532,417|6,270,607|9,433,585
经营活动现金流入小计||1,523,522,394|1,279,127,757|125,065,676|120,720,347
购买商品、接受劳务支付的现金||(1,394,717,262)|(1,135,914,655)|(109,905,675)|(104,673,157)
支付给职工以及为职工支付的现金||(73,848,103)|(67,710,734)|(1,915,066)|(3,345,095)
支付的各项税费||(59,391,122)|(50,886,530)|(946,219)|(900,135)
支付其他与经营活动有关的现金|四(66)(b)|(29,785,984)|(14,304,548)|(7,598,603)|(3,084,209)
经营活动现金流出小计||(1,557,742,471)|(1,268,816,467)|(120,365,563)|(112,002,596)
经营活动(使用)/产生的现金流量净额|四(67)(a)|(34,220,077)|10,311,290|4,700,113|8,717,751
二、投资活动产生的现金流量|||||
收回投资收到的现金||8,393,599|6,232,687|1,772,318|25,000
取得投资收益收到的现金||4,957,371|1,860,307|19,211,427|8,979,614
处置固定资产、无形资产和其他长期资产收回的现金净额||2,186,400|725,253|2,776|4,313
处置子公司及其他营业单位收到的现金净额||48,539|-|-|-
收购子公司及其他营业单位收到的现金净额||467,693|-|-|-
收到其他与投资活动有关的现金|四(66)(c)|16,235,302|16,239,687|2,266,843|3,542,857
投资活动现金流入小计||32,288,904|25,057,934|23,253,364|12,551,784
购建固定资产、无形资产和其他长期资产支付的现金||(20,436,792)|(18,624,014)|(201,915)|(71,172)
投资支付的现金||(11,280,575)|(19,109,520)|(8,298,400)|(11,363,247)
取得子公司及其他营业单位支付的现金净额||-|(302,661)|-|-
处置子公司及其他营业单位支付的现金净额||-|(59,903)|-|-
支付其他与投资活动有关的现金|四(66)(d)|(20,384,348)|(19,775,262)|(3,075,237)|(6,469,362)
投资活动现金流出小计||(52,101,715)|(57,871,360)|(11,575,552)|(17,903,781)
投资活动(使用)/产生的现金流量净额||(19,812,811)|(32,813,426)|11,677,812|(5,351,997)
三、筹资活动产生的现金流量|||||
吸收投资收到的现金||29,815,290|53,619,630|-|6,000,000
其中：子公司吸收少数股东投资收到的现金||29,815,290|47,620,630|-|-
取得借款收到的现金||184,449,477|141,227,841|22,000,000|10,300,000
发行债券收到的现金||15,130,566|33,470,647|-|10,000,000
收到其他与筹资活动有关的现金|四(66)(e)|10,533,485|16,026,097|2,248,813|13,704,261
筹资活动现金流入小计||239,928,818|244,344,215|24,248,813|40,004,261
偿还债务支付的现金||(161,987,155)|(142,835,808)|(23,415,000)|(29,742,013)
分配股利、利润或偿付利息支付的现金||(37,387,427)|(32,230,053)|(10,844,930)|(9,933,879)
其中：子公司支付给少数股东的股利、利润||(8,009,883)|(6,091,316)|-|-
购买子公司少数股权而支付的现金||(222,492)|(75,055)|-|-
支付其他与筹资活动有关的现金|四(66)(f)|(14,023,834)|(4,333,041)|(8,767,963)|(2,596,840)
筹资活动现金流出小计||(213,620,908)|(179,473,957)|(43,027,893)|(42,272,732)
筹资活动产生/(使用)的现金流量净额||26,307,910|64,870,258|(18,779,080)|(2,268,471)
四、汇率变动对现金及现金等价物的影响||642,592|2,621,251|(147,879)|521,151
五、现金及现金等价物净(减少)/增加额||(27,082,386)|44,989,373|(2,549,034)|1,618,434
加：年初现金及现金等价物余额||298,810,194|253,820,821|24,077,377|22,458,943
六、年末现金及现金等价物余额|四(67)(b)|271,727,808|298,810,194|21,528,343|24,077,377
