page|128
资产|附注|2019 年 12 月 31 日 合并|2018 年 12 月 31 日 合并|2019 年 12 月 31 日 公司|2018 年 12 月 31 日 公司
流动资产|||||
货币资金|四(1)|292,441,419|317,500,675|21,561,651|24,120,165
交易性金融资产|四(2)|902,072|—|-|—
以公允价值计量且其变动计入当期损益的金融资产|四(3)|—|4,622,633|—|-
应收票据|四(4)|26,918,443|21,438,282|102,188|196,649
应收账款|四(5)、十八(1)|153,961,875|167,552,941|28,086,588|25,461,372
应收款项融资|四(6)|3,674,166|—|6,100|—
预付款项|四(7)|55,084,548|48,611,609|7,039,642|7,536,344
其他应收款|四(8)、十八(2)|53,186,521|56,489,193|22,569,711|21,029,153
存货|四(9)|578,917,620|634,967,094|340,527|8,626,605
合同资产|四(10)、十八(3)|150,975,326|9,078,328|7,495,304|—
持有待售资产||-|100|-|-
一年内到期的非流动资产|四(11)|57,463,704|53,517,559|4,291,107|3,267,987
其他流动资产|四(12)|87,980,288|48,230,077|4,132,472|3,418,616
流动资产合计||1,461,505,982|1,362,008,491|95,625,290|93,656,891
|||||
非流动资产|||||
债权投资|四(13)|17,759,804|—|8,115,503|—
可供出售金融资产|四(14)|—|10,049,736|—|1,310,892
其他债权投资||612,106|—|-|—
长期应收款|四(15)|164,825,662|281,480,771|-|21,270,975
长期股权投资|四(16)、十八(4)|74,916,901|65,993,999|170,723,729|163,531,321
其他权益工具投资|四(17)|8,069,043|—|1,837,882|—
其他非流动金融资产||50,510|—|-|—
投资性房地产|四(18)|76,301,157|68,650,183|621,752|652,407
固定资产|四(19)|37,554,496|35,679,994|839,905|830,809
在建工程|四(20)|10,085,813|8,293,383|53,957|52,410
无形资产|四(21)|16,409,157|11,594,195|107,442|91,534
商誉|四(22)|2,347,428|2,293,058|-|-
长期待摊费用||935,800|736,192|3,037|16,462
递延所得税资产|四(23)|15,129,128|12,639,243|333,973|778,891
其他非流动资产|四(24)|147,948,942|2,421,053|7,879,408|70,345
非流动资产合计||572,945,947|499,831,807|190,516,588|188,606,046
|||||
