page|133
项目|附注|本年累计数|上年累计数
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||177,569,171,584.04|125,932,884,862.44
收到的税费返还||1,807,537,114.84|962,908,082.19
收到其他与经营活动有关的现金|六、67（1）|7,087,627,704.12|6,454,991,511.43
经营活动现金流入小计||186,464,336,403.00|133,350,784,456.06
购买商品、接受劳务支付的现金||104,143,136,133.09|82,473,995,342.08
支付给职工以及为职工支付的现金||6,946,973,295.34|5,088,248,990.22
支付的各项税费||23,116,014,788.20|21,532,190,086.18
支付其他与经营活动有关的现金|六、67（2）|24,636,205,531.56|10,444,281,430.84
经营活动现金流出小计||158,842,329,748.19|119,538,715,849.32
经营活动产生的现金流量净额|六、68（1）|27,622,006,654.81|13,812,068,606.74
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,691,637,284.19|41,641,663.99
取得投资收益收到的现金||458,492,858.23|340,988,262.98
处置固定资产、无形资产和其他长期资产收回的现金净额||13,889,775.39|11,117,948.00
处置子公司及其他营业单位收到的现金净额|六、68（3）|4,847,586,027.15|106,227,250.52
收到其他与投资活动有关的现金|六、67（3）|33,410,701,721.65|27,241,001,927.60
投资活动现金流入小计||41,422,307,666.61|27,740,977,053.09
购建固定资产、无形资产和其他长期资产支付的现金||4,233,413,787.87|8,108,375,383.34
投资支付的现金||9,718,776,271.05|4,097,065,212.89
取得子公司及其他营业单位支付的现金净额|六、68（2）|1,078,284,183.41|613,871,425.98
支付其他与投资活动有关的现金|六、67（4）|31,209,809,163.22|28,079,732,066.29
投资活动现金流出小计||46,240,283,405.55|40,899,044,088.50
投资活动产生的现金流量净额||-4,817,975,738.94|-13,158,067,035.41
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||18,897,754,671.39|29,723,256,231.68
其中：子公司吸收少数股东投资收到的现金||9,298,871,425.50|17,503,778,892.39
取得借款收到的现金||112,141,638,255.28|97,134,916,738.68
收到其他与筹资活动有关的现金|六、67（5）|33,149,789,999.49|20,446,055,045.98
筹资活动现金流入小计||164,189,182,926.16|147,304,228,016.34
偿还债务支付的现金||99,624,203,812.33|84,501,038,011.65
分配股利、利润或偿付利息支付的现金||16,297,101,816.11|14,150,298,726.34
其中：子公司支付给少数股东的股利、利润||1,317,290,479.57|372,737,367.94
支付其他与筹资活动有关的现金|六、67（6）|56,162,099,815.43|32,404,597,757.24
筹资活动现金流出小计||172,083,405,443.87|131,055,934,495.23
筹资活动产生的现金流量净额||-7,894,222,517.71|16,248,293,521.11
四、汇率变动对现金及现金等价物的影响||-117,257,980.56|-28,153,564.33
五、现金及现金等价物净增加额||14,792,550,417.60|16,874,141,528.11
加：年初现金及现金等价物余额||74,202,674,789.28|57,328,533,261.17
六、年末现金及现金等价物余额|六、68（4）|88,995,225,206.88|74,202,674,789.28
