page|130
项目|附注|本年累计数|上年累计数
一、营业收入|六、52|129,620,818,394.56|97,672,181,191.74
减：营业成本|六、52|92,435,057,066.15|63,829,174,174.03
税金及附加|六、53|9,053,688,057.57|9,199,819,220.73
销售费用|六、54|2,985,602,211.50|2,206,646,581.01
管理费用|六、55|1,979,042,509.32|1,728,572,047.38
研发费用|六、56|71,417,515.42|52,393,153.69
财务费用|六、57|2,223,781,384.84|2,772,555,284.46
其中：利息费用|六、57|4,405,065,423.32|5,021,682,731.13
利息收入|六、57|2,198,981,689.78|2,322,040,593.79
加：其他收益|六、58|202,132,607.24|97,501,495.87
投资收益|六、59|6,107,154,331.13|10,231,354,567.00
其中：对联营企业和合营企业的投资收益|六、59|1,305,326,614.26|2,553,397,547.49
以摊余成本计量的金融资产终止确认收益||-|-
公允价值变动收益（损失以“-”号填列）|六、60|7,833,715.29|114,430,463.78
信用减值利得（损失以“-”号填列）|六、61|-533,850,206.12|80,461,875.41
资产减值利得（损失以“-”号填列）|六、62|-2,570,055,569.49|-2,092,435,466.08
资产处置收益（损失以“-”号填列）|六、63|-5,902,306.86|5,659,494.94
二、营业利润||24,079,542,220.95|26,319,993,161.36
加：营业外收入|六、64|149,033,597.20|144,701,878.77
减：营业外支出|六、65|119,142,626.77|340,983,553.99
三、利润总额||24,109,433,191.38|26,123,711,486.14
减：所得税费用|六、66|7,196,131,140.76|7,266,829,279.76
四、净利润||16,913,302,050.62|18,856,882,206.38
（一）按经营持续性分类|||
1.持续经营净利润||16,913,302,050.62|18,856,882,206.38
2.终止经营净利润||-|-
（二）按所有权归属分类|||
1.归属于母公司股东的净利润||12,252,864,765.28|16,033,175,796.35
2.少数股东损益||4,660,437,285.34|2,823,706,410.03
page|131
项目|附注|本年累计数|上年累计数
五、其他综合收益的税后净额|六、48|-318,831,324.84|15,127,906.12
归属母公司股东的其他综合收益的税后净额||-297,780,484.43|11,632,569.05
（一）不能重分类进损益的其他综合收益||-98,176.15|94,036.75
1.重新计量设定受益计划变动额||-|-
2.权益法下不能转损益的其他综合收益||-|-
3.其他权益工具投资公允价值变动||-98,176.15|94,036.75
4.企业自身信用风险公允价值变动||-|-
（二）将重分类进损益的其他综合收益||-297,682,308.28|11,538,532.30
1.权益法下可转损益的其他综合收益||-|-
2.其他债权投资公允价值变动||-|-
3.金融资产重分类计入其他综合收益的金额||-|-
4.其他债权投资信用减值准备||-|-
5.现金流量套期储备||-|-
6.外币财务报表折算差额||-297,682,308.28|11,538,532.30
归属于少数股东的其他综合收益的税后净额||-21,050,840.41|3,495,337.07
六、综合收益总额||16,594,470,725.78|18,872,010,112.50
归属于母公司股东的综合收益总额||11,955,084,280.85|16,044,808,365.40
归属于少数股东的综合收益总额||4,639,386,444.93|2,827,201,747.10
七、每股收益：|||
（一）基本每股收益||1.46|1.99
（二）稀释每股收益||1.46|1.99
