page|70
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||891,507,614.22|828,285,526.72
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||998,185.78|1,048,574.58
收到其他与经营活动有关的现金||107,898,899.59|136,777,759.70
经营活动现金流入小计||1,000,404,699.59|966,111,861.00
购买商品、接受劳务支付的现金||675,845,440.48|682,372,275.78
客户贷款及垫款净增加额|||
存放中央银行和同业款项净|||
page|71
增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||116,287,823.19|112,535,627.53
支付的各项税费||13,822,320.01|44,605,498.74
支付其他与经营活动有关的现金||179,998,353.78|163,397,290.06
经营活动现金流出小计||985,953,937.46|1,002,910,692.11
经营活动产生的现金流量净额||14,450,762.13|-36,798,831.11
二、投资活动产生的现金流量：|||
收回投资收到的现金||90,000,000.00|89,000,000.00
取得投资收益收到的现金||2,281,565.26|403,204.96
处置固定资产、无形资产和其他长期资产收回的现金净额||215,000.00|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||92,496,565.26|89,403,204.96
购建固定资产、无形资产和其他长期资产支付的现金||51,725,760.49|51,264,134.97
投资支付的现金||90,050,000.00|89,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||1,467,199.50|
投资活动现金流出小计||143,242,959.99|140,264,134.97
投资活动产生的现金流量净额||-50,746,394.73|-50,860,930.01
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||4,986,620.00|
其中：子公司吸收少数股东投资收到的现金||4,986,620.00|
取得借款收到的现金||372,710,000.00|366,091,223.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||377,696,620.00|366,091,223.00
偿还债务支付的现金||364,909,581.00|235,800,000.00
分配股利、利润或偿付利息支付的现金||13,327,796.54|29,938,664.67
其中：子公司支付给少数股东的股利、利润|||
page|72
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||378,237,377.54|265,738,664.67
筹资活动产生的现金流量净额||-540,757.54|100,352,558.33
四、汇率变动对现金及现金等价物的影响||210,690.02|23,498.29
五、现金及现金等价物净增加额||-36,625,700.12|12,716,295.50
加：期初现金及现金等价物余额||179,400,174.70|166,683,879.20
六、期末现金及现金等价物余额||142,774,474.58|179,400,174.70
