page|86
|||单位:元 币种:人民币
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|十一（七）1|4,362,937,597.95|1,124,948,929.14
结算备付金|||
拆出资金|||
交易性金融资产|十一（七）2|3,336,668,396.98|224,332,222.05
衍生金融资产|||
应收票据|十一（七）4|146,045,240.36|374,887,801.20
应收账款|十一（七）5|590,313,148.79|782,034,676.48
应收款项融资|十一（七）6|661,193,181.71|179,491,337.02
预付款项|十一（七）7|135,452,384.88|173,602,776.17
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|十一（七）8|233,389,785.53|226,958,728.25
其中：应收利息||129,093.52|715,510.70
应收股利||43,385,054.82|26,373,312.00
买入返售金融资产|||
存货|十一（七）9|540,130,606.97|598,253,904.45
合同资产|十一（七）10|154,958,929.57|
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|十一（七）13|131,545,246.08|137,918,880.02
流动资产合计||10,292,634,518.82|3,822,429,254.78
非流动资产：|||
发放贷款和垫款||11,616,839.62|53,793,994.93
债权投资|||
其他债权投资|||
长期应收款|十一（七）16|34,342,516.44|42,236,912.26
长期股权投资|十一（七）17|4,749,301,554.62|8,800,415,631.68
其他权益工具投资|十一（七）18|748,092,780.01|602,889,986.25
其他非流动金融资产|||
投资性房地产|十一（七）20|25,013,732.57|27,336,894.86
page|87
|||2020 年年度报告
固定资产|十一（七）21|12,136,195,297.37|13,146,053,690.90
在建工程|十一（七）22|192,386,251.58|263,477,400.77
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|十一（七）26|747,099,451.39|852,647,827.74
开发支出|||
商誉|十一（七）28|1,501,603,035.83|1,490,801,690.07
长期待摊费用|十一（七）29|61,801,556.82|71,688,680.98
递延所得税资产|十一（七）30|105,164,651.88|213,260,283.80
其他非流动资产|十一（七）31|3,074,896,037.14|2,160,903,572.38
非流动资产合计||23,387,513,705.27|27,725,506,566.62
资产总计||33,680,148,224.09|31,547,935,821.40
流动负债：|||
短期借款|十一（七）32|1,540,454,291.69|1,133,552,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|十一（七）33|59,224,500.00|57,677,924.03
衍生金融负债|||
应付票据|十一（七）35|245,229,386.56|488,574,756.74
应付账款|十一（七）36|1,530,212,270.74|1,570,503,451.91
预收款项|十一（七）37||400,068,919.67
合同负债|十一（七）38|471,528,736.69|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|十一（七）39|167,164,904.94|149,721,220.72
应交税费|十一（七）40|717,092,396.75|371,683,873.11
其他应付款|十一（七）41|3,747,127,125.86|636,685,257.84
其中：应付利息|||9,902,449.00
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|十一（七）43|787,925,919.68|2,572,580,078.68
其他流动负债|十一（七）44|56,653,602.65|
流动负债合计||9,322,613,135.56|7,381,047,482.70
page|88
|||2020 年年度报告
保险合同准备金|||
长期借款|十一（七）45|2,945,641,125.63|4,446,089,950.62
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|十一（七）50|208,310.70|4,166,075.08
递延收益|十一（七）51|82,791,548.66|68,979,931.81
递延所得税负债|十一（七）30|125,220,751.03|74,252,439.25
其他非流动负债|||
非流动负债合计||3,153,861,736.02|4,593,488,396.76
负债合计||12,476,474,871.58|11,974,535,879.46
所有者权益（或股东权益）：|||
实收资本（或股本）|十一（七）53|8,438,017,390.00|8,438,017,390.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|十一（七）55|332,108,524.11|273,792,677.82
减：库存股|||
其他综合收益|十一（七）57|-79,893,959.92|21,011,160.52
专项储备|十一（七）58|21,962,944.93|12,724,653.75
盈余公积|十一（七）59|1,179,477,607.12|834,355,950.67
一般风险准备|||
未分配利润|十一（七）60|10,860,890,864.84|9,344,225,021.56
归属于母公司所有者权益（或股东|||
||20,752,563,371.08|18,924,126,854.32
权益）合计|||
少数股东权益||451,109,981.43|649,273,087.62
所有者权益（或股东权益）合计||21,203,673,352.51|19,573,399,941.94
