page|122
|附注五|2020年|2019年
一、  经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||114,716,078|95,558,437
收到的税费返还||3,985,133|4,408,771
收到的其他与经营活动有关的现金||6,771,002|5,372,061
经营活动现金流入小计||125,472,213|105,339,269
购买商品、接受劳务支付的现金||79,466,978|63,769,922
支付给职工以及为职工支付的现金||18,795,464|15,605,420
支付的各项税费||6,599,758|7,821,369
支付的其他与经营活动有关的现金||10,377,362|10,696,004
经营活动现金流出小计||115,239,562|97,892,715
经营活动产生的现金流量净额|57|10,232,651|7,446,554
二、  投资活动产生的现金流量|||
收回投资收到的现金||6,509,874|1,956,504
取得投资收益收到的现金||273,809|210,091
处置固定资产、无形资产和其他长期资产收回|||
的现金净额||9,398|1,883,702
处置子公司及其他经营单位所收到的现金净额||251,702|447,907
收到其他与投资活动有关的现金|56|-|65,000
投资活动现金流入小计||7,044,783|4,563,204
购建固定资产、无形资产和其他长期资产支付|||
的现金||6,471,652|6,550,620
投资支付的现金||7,363,565|1,835,699
支付其他与投资活动有关的现金|56|34,009|2,200,000
取得子公司及其他营业单位支付的现金净额||257,671|-
投资活动现金流出小计||14,126,897|10,586,319
投资活动产生的现金流量净额||(7,082,114)|(6,023,115)
page|123
|附注五|2020年|2019年
三、  筹资活动产生的现金流量|||
吸收投资收到的现金||14,166,524|590,720
其中：子公司吸收少数股东投资收到的现金||2,612,000|4,570
取得借款收到的现金||48,160,989|45,320,925
收到其他与筹资活动有关的现金|56|6,540|26,280
筹资活动现金流入小计||62,334,053|45,937,925
偿还债务支付的现金||49,454,964|36,301,498
兑付永续票据所支付的现金||6,000,000|-
分配股利、利润或偿付利息支付的现金||2,950,970|2,640,253
其中：子公司支付给少数股东的股利、利润||259,200|480,581
支付的其他与筹资活动有关的现金|56|4,218,024|1,274,456
