page|93
2019 年 12 月 31 日||
||单位：元
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|42,466,839,474.24|42,993,577,212.96
结算备付金||
拆出资金|218,250,115,029.13|210,990,915,646.37
交易性金融资产|28,673,371,966.67|不适用
以公允价值计量且其变动计入当期损益的金融资产|不适用|54,908,943,710.65
衍生金融资产|193,151,932.81|232,162,770.35
应收票据||
应收账款|32,883,070.91|33,601,800.03
应收款项融资||
预付款项|159,925,756.32|82,164,576.73
应收保费|94,126,140.25|117,345,880.52
应收分保账款|615,499,317.96|626,581,758.53
应收分保合同准备金|1,291,307,579.64|1,332,925,066.34
其他应收款|1,365,181,801.02|6,346,986,941.55
其中：应收利息|18,531,821.89|5,682,047,200.42
应收股利||
买入返售金融资产|10,957,121,872.98|30,669,469,189.12
page|94
||续表
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
一年内到期的非流动资产|159,207,914,277.28|250,949,824,960.03
其他流动资产|49,893,956,734.38|615,454,895.41
流动资产合计|513,201,394,953.59|599,899,954,408.59
非流动资产：||
发放贷款和垫款|228,958,715,034.18|151,366,883,060.69
债权投资|39,446,881,657.89|不适用
可供出售金融资产|不适用|43,636,138,469.14
其他债权投资|39,816,126,588.33|不适用
持有至到期投资|不适用|13,697,061,944.41
应收款项类投资|不适用|20,659,078,064.97
长期应收款|39,412,497,237.27|35,654,120,763.34
长期股权投资|10,699,787,539.15|9,508,298,290.23
其他权益工具投资|2,269,803,591.28|不适用
其他非流动金融资产|42,725,546,739.04|不适用
投资性房地产|402,741,557.89|361,804,606.37
固定资产|10,729,127,878.39|10,529,557,535.75
在建工程|106,946,899.46|65,147,259.22
生产性生物资产||
油气资产||
使用权资产||
无形资产|508,705,786.76|497,896,563.78
开发支出||
商誉|27,305,112.94|27,305,112.94
长期待摊费用|53,063,740.82|78,550,309.62
递延所得税资产|3,864,263,709.46|3,817,922,140.59
其他非流动资产|1,157,076,736.39|1,690,500,159.23
非流动资产合计|420,178,589,809.25|291,590,264,280.28
page|95
||续表
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
资产总计|933,379,984,762.84|891,490,218,688.87
流动负债：||
短期借款|33,246,264,551.37|18,169,338,257.23
向中央银行借款|1,331,118,158.96|1,817,104,513.37
拆入资金|66,347,268,724.45|73,276,510,449.35
交易性金融负债||不适用
以公允价值计量且其变动计入当期损益的金融负债|不适用|
衍生金融负债|235,604,170.83|362,531,063.02
应付票据|21,791,623.77|181,755,626.80
应付账款|64,017,832.18|43,389,123.33
预收款项|1,412,238,960.29|1,422,127,116.00
合同负债||
卖出回购金融资产款|30,324,453,052.37|27,849,537,446.44
吸收存款及同业存放|539,880,791,972.92|512,194,923,286.34
代理买卖证券款|6,058.00|6,058.00
代理承销证券款||
应付职工薪酬|123,869,687.12|104,353,924.31
应交税费|1,116,679,714.41|1,279,922,765.34
其他应付款|9,272,220,519.83|16,668,646,722.60
其中：应付利息||6,471,293,142.49
应付股利|31,842.10|1,191,157,977.44
应付手续费及佣金|29,850,517.11|30,250,288.38
应付分保账款|582,439,914.79|721,778,874.37
持有待售负债||
一年内到期的非流动负债|3,473,842,815.19|43,757,323,995.80
其他流动负债|58,265,945,630.04|22,549,451,970.40
流动负债合计|745,728,403,903.63|720,428,951,481.08
page|96
||续表
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
非流动负债：||
保险合同准备金|3,691,378,148.02|3,355,047,157.61
长期借款|2,567,870,399.57|3,792,377,291.41
应付债券|23,780,024,116.35|18,847,827,098.53
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债|637,605,772.84|
递延收益|1,573,343.13|9,310,597.18
递延所得税负债|268,452,447.75|66,683,171.92
其他非流动负债|3,120,940,158.81|2,606,479,218.12
非流动负债合计|34,067,844,386.47|28,677,724,534.77
负债合计|779,796,248,290.10|749,106,676,015.85
所有者权益：||
股本|9,030,056,485.00|9,030,056,485.00
其他权益工具||
其中：优先股||
永续债||
资本公积|38,724,637,371.01|38,724,524,163.46
减：库存股||
其他综合收益|1,264,896,643.61|175,883,828.59
专项储备||
盈余公积|5,533,704,744.83|5,184,168,189.10
一般风险准备|6,636,371,398.35|6,227,361,291.02
未分配利润|22,781,594,866.03|18,122,377,486.07
