page|61
项目|附注五|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|（一）|14,150,725,318.85|10,561,057,806.75
结算备付金|||
拆出资金|||
交易性金融资产|（二）|1,311,077,896.06|1,864,363.98
以公允价值计量且其变动计入当期损益的金融资产|（三）||23,420.70
衍生金融资产|||
应收票据|||
应收账款|（六）|792,886,642.32|753,017,690.47
应收款项融资|||
预付款项|（八）|218,606,843.58|495,544,508.74
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（九）|267,650,979.72|383,668,681.88
其中：应收利息|||91,089,222.38
应收股利||27,946,423.66|77,646,800.00
买入返售金融资产|||
存货|（十）|3,301,664,086.39|2,993,749,726.66
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|（十三）|563,731,712.37|4,383,115,870.79
流动资产合计||20,606,343,479.29|19,572,042,069.97
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|（十四）||3,241,046,758.44
其他债权投资|||
持有至到期投资|||
长期应收款|（十七）|299,076,418.57|
长期股权投资|（十八）|1,215,047,514.05|1,123,644,295.02
其他权益工具投资|（十九）|5,013,678,913.72|
其他非流动金融资产|（二十）|73,909,047.18|52,901,277.48
投资性房地产|（二十一）|143,898,625.74|160,264,040.59
固定资产|（二十二）|14,666,868,197.34|14,915,211,453.94
在建工程|（二十三）|2,069,590,000.47|1,573,583,640.53
生产性生物资产|||
油气资产|||
使用权资产|（二十六）|6,629,985,446.73|
page|62
无形资产|（二十七）|3,405,948,182.30|3,516,130,887.19
开发支出|||
商誉|（二十九）|138,907,856.22|138,907,856.22
长期待摊费用|（三十）|1,167,700,130.71|1,018,670,897.65
递延所得税资产|（三十一）|48,571,999.02|123,858,550.34
其他非流动资产|（三十二）|213,248,157.57|1,110,786.73
非流动资产合计||35,086,430,489.62|25,865,330,444.13
资产总计||55,692,773,968.91|45,437,372,514.10
流动负债：|||
短期借款|（三十三）|630,757,625.00|697,600,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|||
应付账款|（三十七）|6,158,285,599.00|6,065,687,782.21
预收款项|（三十八）|804,450,523.00|666,265,995.46
合同负债|（三十九）|5,720,683,597.57|5,488,651,082.38
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（四十）|643,565,710.87|703,705,419.38
应交税费|（四十一）|521,928,245.38|614,705,361.49
其他应付款|（四十二）|6,308,103,996.22|5,948,522,539.59
其中：应付利息|||24,176,119.96
应付股利||77,245,413.28|93,605,413.28
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|（四十四）|967,640,883.00|145,500,000.00
其他流动负债|（四十五）|1,669,939,176.02|2,325,968,068.46
流动负债合计||23,425,355,356.06|22,656,606,248.97
非流动负债：|||
保险合同准备金|||
长期借款|（四十六）|1,794,845,031.64|1,616,391,608.95
应付债券|||
其中：优先股|||
永续债|||
租赁负债|（四十八）|6,774,003,931.56|
长期应付款|（四十九）|29,326,988.78|29,326,988.78
长期应付职工薪酬|（五十）|201,000,000.00|197,530,000.00
预计负债|（五十一）|51,867,031.73|37,195,793.36
递延收益|（五十二）|269,933,137.11|315,757,511.26
递延所得税负债|（三十一）|1,218,823,770.06|735,522,120.63
其他非流动负债|||
page|63
非流动负债合计||10,339,799,890.88|2,931,724,022.98
负债合计||33,765,155,246.94|25,588,330,271.95
所有者权益（或股东权益）：|||
实收资本（或股本）|（五十四）|1,784,168,117.00|1,784,168,117.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|（五十六）|2,928,476,406.83|2,928,476,406.83
减：库存股|||
其他综合收益|（五十八）|3,406,033,890.92|2,077,105,474.17
专项储备|（五十九）|12,774,000.00|12,504,000.00
盈余公积|（六十）|1,458,997,663.42|1,436,747,446.54
一般风险准备|||
未分配利润|（六十一）|8,707,940,684.08|8,075,041,294.98
归属于母公司所有者权益（或股东权益）合计||18,298,390,762.25|16,314,042,739.52
少数股东权益||3,629,227,959.72|3,534,999,502.63
所有者权益（或股东权益）合计||21,927,618,721.97|19,849,042,242.15
负债和所有者权益（或股东权益）总计||55,692,773,968.91|45,437,372,514.10
