page|69
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||57,087,893,870.92|55,328,781,054.93
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||10,318,734.63|37,642,728.58
收到其他与经营活动有关的现金|（七十八）|956,082,889.18|917,767,550.48
经营活动现金流入小计||58,054,295,494.73|56,284,191,333.99
购买商品、接受劳务支付的现金||45,336,706,359.61|43,863,911,213.30
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||3,524,478,175.38|3,511,362,428.14
支付的各项税费||1,828,785,462.43|1,941,318,299.34
支付其他与经营活动有关的现金|（七十八）|4,740,335,169.67|5,168,611,187.38
经营活动现金流出小计||55,430,305,167.09|54,485,203,128.16
经营活动产生的现金流量净额||2,623,990,327.64|1,798,988,205.83
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,885,346,358.89|3,272,420,820.06
取得投资收益收到的现金||331,921,573.45|189,231,943.07
处置固定资产、无形资产和其他长期资产收回的现金净额||154,754,915.94|126,249,680.29
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||4,372,022,848.28|3,587,902,443.42
购建固定资产、无形资产和其他长期资产支付的现金||1,527,237,839.33|1,340,301,646.44
投资支付的现金||1,377,219,374.02|4,079,753,672.90
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||14,934,875.00
支付其他与投资活动有关的现金|（七十八）|3,098,515.20|47,965.87
page|70
投资活动现金流出小计||2,907,555,728.55|5,435,038,160.21
投资活动产生的现金流量净额||1,464,467,119.73|-1,847,135,716.79
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||317,946,400.00|10,200,000.00
其中：子公司吸收少数股东投资收到的现金||317,946,400.00|10,200,000.00
取得借款收到的现金||4,033,954,394.35|5,738,894,425.73
收到其他与筹资活动有关的现金|（七十八）||267,522,100.00
筹资活动现金流入小计||4,351,900,794.35|6,016,616,525.73
偿还债务支付的现金||5,120,719,065.94|4,477,570,000.00
分配股利、利润或偿付利息支付的现金||759,692,403.67|658,035,827.00
其中：子公司支付给少数股东的股利、利润||159,312,412.59|84,217,888.11
支付其他与筹资活动有关的现金|（七十八）|3,619,848.44|4,167,028.29
筹资活动现金流出小计||5,884,031,318.05|5,139,772,855.29
筹资活动产生的现金流量净额||-1,532,130,523.70|876,843,670.44
四、汇率变动对现金及现金等价物的影响||-1,103,073.80|-1,534,375.87
五、现金及现金等价物净增加额||2,555,223,849.87|827,161,783.61
加：期初现金及现金等价物余额||8,794,443,572.95|7,967,281,789.34
六、期末现金及现金等价物余额||11,349,667,422.82|8,794,443,572.95
