page|65
项目|附注五|2019 年度|2018 年度
一、营业总收入|（六十二）|50,458,773,217.78|48,426,713,008.42
其中：营业收入|（六十二）|50,458,773,217.78|48,426,713,008.42
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||49,250,920,575.46|47,365,339,124.91
其中：营业成本|（六十二）|39,925,270,058.52|38,291,817,049.64
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十三）|383,135,795.20|377,240,621.94
销售费用|（六十四）|6,412,652,082.06|6,459,205,534.46
管理费用|（六十五）|2,443,233,282.24|2,330,047,020.76
研发费用|（六十六）|14,644,458.35|8,314,234.60
财务费用|（六十七）|71,984,899.09|-101,285,336.49
其中：利息费用||445,386,062.60|160,317,693.25
page|66
利息收入||429,239,548.32|315,161,100.80
加：其他收益|（六十八）|105,472,642.18|97,990,405.77
|投资收益（损失以“－”号填列）  （六十九）|225,664,788.38|209,056,188.95
其中：对联营企业和合营企业的投资收益||-13,453,484.17|22,109,811.53
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（七十一）|-70,160,055.92|-15,003,815.34
信用减值损失（损失以“-”号填列）|（七十二）|-13,697,555.20|-1,432,058.42
资产减值损失（损失以“-”号填列）|（七十三）|-128,066,453.48|-21,937,875.31
资产处置收益（损失以“－”号填列）|（七十四）|153,940,145.29|105,725,328.29
三、营业利润（亏损以“－”号填列）||1,481,006,153.57|1,435,772,057.45
加：营业外收入|（七十五）|148,214,195.07|218,966,129.57
减：营业外支出|（七十六）|31,111,628.74|92,258,570.32
四、利润总额（亏损总额以“－”号填列）||1,598,108,719.90|1,562,479,616.70
减：所得税费用|（七十七）|690,083,021.08|655,785,880.02
五、净利润（净亏损以“－”号填列）||908,025,698.82|906,693,736.68
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||908,025,698.82|906,693,736.68
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||958,193,938.74|872,099,090.50
2.少数股东损益（净亏损以“-”号填列）||-50,168,239.92|34,594,646.18
六、其他综合收益的税后净额||1,329,601,246.52|-900,450,894.73
（一）归属母公司所有者的其他综合收益的税后净额||1,328,928,416.76|-902,235,408.99
1．不能重分类进损益的其他综合收益||1,328,928,416.76|36,088,120.00
（1）重新计量设定受益计划变动额|||36,088,120.00
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||1,328,928,416.76|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||-938,323,528.99
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
page|67
（3）可供出售金融资产公允价值变动损益|||-938,323,528.99
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||672,829.76|1,784,514.26
七、综合收益总额||2,237,626,945.34|6,242,841.95
（一）归属于母公司所有者的综合收益总额||2,287,122,355.50|-30,136,318.49
（二）归属于少数股东的综合收益总额||-49,495,410.16|36,379,160.44
八、每股收益：|||
（一）基本每股收益(元/股)||0.54|0.49
（二）稀释每股收益(元/股)||0.54|0.49
