page|87
项目|附注七|本期金额|上期金额
一、营业总收入||3,366,710|3,351,289
利息净收入|34|2,830,933|2,559,153
利息收入||5,788,299|5,270,527
利息支出||2,957,366|2,711,374
手续费及佣金净收入|35|138,082|100,179
手续费及佣金收入||189,923|131,021
手续费及佣金支出||51,841|30,842
投资收益（损失以“-”号填列）|36|305,359|638,164
其中：对联营企业和合营企业的投资收益||53,286|53,290
以摊余成本计量的金融资产终止确认产生的投资收益（损失以“-”号填列）||-1|1,318
其他收益|37|28,121|9,031
公允价值变动收益（损失以“-”号填列）|38|38,484|2,478
汇兑收益（损失以“-”号填列）||6,773|-610
其他业务收入|39|18,855|19,304
资产处置收益（损失以“-”号填列）|40|103|23,590
二、营业总支出||2,020,614|2,234,317
税金及附加|41|30,714|27,290
业务及管理费|42|1,124,448|1,054,722
信用减值损失|43|854,200|1,141,195
其他资产减值损失||-|-
其他业务成本|44|11,252|11,110
三、营业利润（亏损以“-”号填列）||1,346,096|1,116,972
加：营业外收入|45|2,269|9,622
减：营业外支出|46|23,766|19,829
四、利润总额（亏损总额以“-”号填列）||1,324,599|1,106,765
减：所得税费用|47|39,867|36,635
五、净利润（净亏损以“-”号填列）||1,284,732|1,070,130
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||1,284,732|1,070,130
2．终止经营净利润（净亏损以“-”号填列）||-|-
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||1,273,690|1,056,881
2．少数股东损益（净亏损以“-”号填列）||11,042|13,249
六、其他综合收益的税后净额||11,669|-292,112
归属于母公司所有者的其他综合收益的税后净额||11,549|-291,967
（一）不能重分类进损益的其他综合收益||-|-
1．重新计量设定受益计划变动额||-|-
2．权益法下不能转损益的其他综合收益||-|-
3．其他权益工具投资公允价值变动||-|-
4．企业自身信用风险公允价值变动||-|-
（二）将重分类进损益的其他综合收益||11,549|-291,967
1．权益法下可转损益的其他综合收益||2,030|-611
2．其他债权投资公允价值变动||16,057|-271,964
3．金融资产重分类计入其他综合收益的金额||-|-
4．其他债权投资信用损失准备||-6,538|-19,392
5．现金流量套期储备||-|-
6．外币财务报表折算差额||-|-
7．其他||-|-
归属于少数股东的其他综合收益的税后净额||120|-145
七、综合收益总额||1,296,401|778,018
归属于母公司所有者的综合收益总额||1,285,239|764,914
归属于少数股东的综合收益总额||11,162|13,104
八、每股收益|||
（一）基本每股收益（元/股）|48|0.5864|0.4866
（二）稀释每股收益（元/股）|48|0.5178|0.4355
