page|59
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,337,035,445.82|1,352,609,138.84
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||129,770,009.30|161,051,574.96
收到其他与经营活动有关的现金|（五十）|41,969,122.79|35,553,129.43
经营活动现金流入小计||1,508,774,577.91|1,549,213,843.23
购买商品、接受劳务支付的现金||1,237,805,915.78|1,258,136,865.61
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||217,659,047.14|212,450,096.71
支付的各项税费||10,814,062.04|17,557,469.99
支付其他与经营活动有关的现金|（五十）|67,919,359.64|54,043,979.69
经营活动现金流出小计||1,534,198,384.60|1,542,188,412.00
经营活动产生的现金流量净额||-25,423,806.69|7,025,431.23
二、投资活动产生的现金流量：|||
收回投资收到的现金||207,768,600.00|442,865,617.13
取得投资收益收到的现金||6,766,410.36|6,581,977.06
处置固定资产、无形资产和其他长期资产收回的现金净额||243,113.08|3,285,577.35
处置子公司及其他营业单位收到的现金净额||15,355,734.49|
收到其他与投资活动有关的现金|（五十）|614,300.00|600,351.70
投资活动现金流入小计||230,748,157.93|453,333,523.24
购建固定资产、无形资产和其他长期资产支付的现金||498,136.21|877,295.94
投资支付的现金||207,768,600.00|434,034,520.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（五十）|333,426.97|1,426,724.52
投资活动现金流出小计||208,600,163.18|436,338,540.46
投资活动产生的现金流量净额||22,147,994.75|16,994,982.78
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
page|60
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||420,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||420,000.00
偿还债务支付的现金|||420,000.00
分配股利、利润或偿付利息支付的现金||3,418,602.83|3,019,566.68
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（五十）|1,285,449.76|
筹资活动现金流出小计||4,704,052.59|3,439,566.68
筹资活动产生的现金流量净额||-4,704,052.59|-3,019,566.68
四、汇率变动对现金及现金等价物的影响||2,867,282.11|-3,320,088.90
五、现金及现金等价物净增加额||-5,112,582.42|17,680,758.43
加：期初现金及现金等价物余额||260,878,825.37|243,198,066.94
六、期末现金及现金等价物余额||255,766,242.95|260,878,825.37
