page|56
项目|附注五|2019 年度|2018 年度
一、营业总收入|||1,369,543,327.65  1,378,099,486.15
其中：营业收入||（三十五）  1,369,543,327.65  1,378,099,486.15|
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||1,372,406,814.34  1,381,744,629.97
其中：营业成本||（三十五）  1,275,049,582.48  1,283,841,173.92|
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（三十六）|2,737,061.62|3,858,932.06
销售费用|（三十七）|48,148,203.40|39,167,962.32
管理费用|（三十八）|49,445,281.39|51,478,963.08
研发费用|||
财务费用|（三十九）|-2,973,314.55|3,397,598.59
其中：利息费用|||4,696.53
利息收入||671,561.87|510,718.60
加：其他收益|（四十）|2,780,140.85|2,428,757.27
投资收益（损失以“－”号填列）|（四十一）|19,792,604.63|13,413,496.15
其中：对联营企业和合营企业的投资收益||-76,143.22|-357,532.77
以摊余成本计量的金融资产终止确认收益||5,521,461.66|
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（四十二）|-3,247,136.93|250,424.35
|信用减值损失（损失以“-”号填列） （四十三）|-1,051,629.45|
|资产减值损失（损失以“-”号填列） （四十四）|-71,552.12|-1,420,341.06
|资产处置收益（损失以“－”号填列） （四十五）|-124,070.86|2,510,283.52
三、营业利润（亏损以“－”号填列）||15,214,869.43|13,537,476.41
加：营业外收入|（四十六）|3,342.96|169,051.86
减：营业外支出|（四十七）|2,734,033.22|78,682.65
四、利润总额（亏损总额以“－”号填列）||12,484,179.17|13,627,845.62
减：所得税费用|（四十八）|2,759,772.14|2,464,377.14
五、净利润（净亏损以“－”号填列）||9,724,407.03|11,163,468.48
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||9,811,978.39|11,163,468.48
2.终止经营净利润（净亏损以“－”号||-87,571.36|
page|57
填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||8,200,687.11|10,746,956.82
2.少数股东损益（净亏损以“-”号填列）||1,523,719.92|416,511.66
六、其他综合收益的税后净额||17,185.39|-6,692,257.16
（一）归属母公司所有者的其他综合收益的税后净额||11,246.12|-6,692,257.16
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||11,246.12|-6,692,257.16
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-6,692,257.16
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备||11,246.12|
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||5,939.27|
七、综合收益总额||9,741,592.42|4,471,211.32
（一）归属于母公司所有者的综合收益总额||8,211,933.23|4,054,699.66
（二）归属于少数股东的综合收益总额||1,529,659.19|416,511.66
八、每股收益：|||
（一）基本每股收益(元/股)||0.04|0.05
（二）稀释每股收益(元/股)||0.04|0.05
