page|76
|合并现金流量表||
编制单位：广东风华高新科技股份有限公司|||单位：元
项         目|附注|2019 年度|2018 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,081,706,553.02|3,913,135,384.51
收到的税费返还||4,359,835.09|8,003,845.56
收到其他与经营活动有关的现金|六、55（1）|282,200,561.09|131,217,482.33
经营活动现金流入小计||3,368,266,949.20|4,052,356,712.40
购买商品、接受劳务支付的现金||1,220,819,346.01|1,372,486,978.05
支付给职工以及为职工支付的现金||739,029,748.69|701,348,570.26
支付的各项税费||390,507,322.27|389,376,296.28
支付其他与经营活动有关的现金|六、55（2）|225,277,839.39|127,383,930.19
经营活动现金流出小计||2,575,634,256.36|2,590,595,774.78
经营活动产生的现金流量净额||792,632,692.84|1,461,760,937.62
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,555,871,688.76|977,028,003.54
取得投资收益收到的现金||33,442,190.83|34,978,426.75
处置固定资产、无形资产和其他长期资产收回的现金净额||268,752.74|5,398,684.05
收到其他与投资活动有关的现金|六、55（3）|311,041.50|
投资活动现金流入小计||1,589,893,673.83|1,017,405,114.34
购建固定资产、无形资产和其他长期资产支付的现金||226,778,438.39|481,610,207.27
投资支付的现金||1,505,501,788.76|1,005,900,800.00
支付其他与投资活动有关的现金|六、55（4）|33,208,394.26|
投资活动现金流出小计||1,765,488,621.41|1,487,511,007.27
投资活动产生的现金流量净额||-175,594,947.58|-470,105,892.93
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
取得借款收到的现金||35,000,000.00|145,000,000.00
收到其他与筹资活动有关的现金|六、55（5）||2,927,624.65
筹资活动现金流入小计||35,000,000.00|147,927,624.65
偿还债务支付的现金||86,600,006.00|342,267,078.24
分配股利、利润或偿付利息支付的现金||272,596,935.37|69,768,581.96
支付其他与筹资活动有关的现金|六、55（6）|503,509.05|4,140,148.89
筹资活动现金流出小计||359,700,450.42|416,175,809.09
筹资活动产生的现金流量净额||-324,700,450.42|-268,248,184.44
四、汇率变动对现金的影响||-337,800.61|8,619,362.12
五、现金及现金等价物净增加额||291,999,494.23|732,026,222.37
加：期初现金及现金等价物余额||1,159,219,701.87|427,193,479.50
六、期末现金及现金等价物余额||1,451,219,196.10|1,159,219,701.87
