page|74
编制单位：广东风华高新科技股份有限公司|||单位：人民币元
项目|附注|2019 年度|2018 年度
一、营业总收入||3,293,174,130.40|4,580,200,601.43
其中：营业收入|六、39|3,293,174,130.40|4,580,200,601.43
二、营业总成本||2,957,026,913.14|3,278,730,393.75
其中：营业成本|六、39|2,503,357,949.56|2,671,654,955.11
税金及附加|六、40|34,795,718.16|55,259,117.29
销售费用|六、41|76,303,472.01|93,075,896.04
管理费用|六、42|228,106,090.33|287,335,845.39
研发费用|六、43|143,628,349.86|177,077,859.36
财务费用|六、44|-29,164,666.78|-5,673,279.44
其中：利息费用||4,549,413.40|8,939,703.50
利息收入||33,842,490.61|6,857,537.81
加：其他收益|六、45|62,227,175.52|55,794,944.50
投资收益（损失以“-”号填列）|六、46|70,740,842.63|59,718,912.52
其中：对联营企业和合营企业的投资收益||42,997,078.58|30,956,015.14
信用减值损失（损失以“-”号填列）|六、47|10,843,742.98|
资产减值损失（损失以“-”号填列）|六、48|-87,652,561.58|-193,984,722.71
资产处置收益（损失以“-”号填列）|六、49|538,004.72|4,456,494.47
三、营业利润（亏损以“-”号填列）||392,844,421.53|1,227,455,836.46
加：营业外收入|六、50|3,688,557.09|3,266,743.31
减：营业外支出|六、51|5,632,615.09|6,819,780.56
四、利润总额（亏损总额以“-”号填列）||390,900,363.53|1,223,902,799.21
减：所得税费用|六、52|42,673,952.54|195,081,863.63
五、净利润（净亏损以“-”号填列）||348,226,410.99|1,028,820,935.58
（一）按经营持续性分类：|||
1.持续经营净利润（净亏损以“-”号填列）||348,226,410.99|1,028,820,935.58
2.终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类：|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||338,849,751.64|1,017,172,198.71
2.少数股东损益（净亏损以“-”号填列）||9,376,659.35|11,648,736.87
page|75
项目|附注|2019 年度|2018 年度
六、其他综合收益的税后净额||41,054,336.76|-20,894,297.74
（一）归属于母公司股东的其他综合收益的税后净额||41,054,336.76|-20,895,348.82
1.不能重分类进损益的其他综合收益||34,133,108.20|
（1）其他权益工具投资公允价值变动||34,133,108.20|
2.将重分类进损益的其他综合收益||6,921,228.56|-20,895,348.82
（1）权益法下可转损益的其他综合收益||589,933.01|-461,485.29
（2）可供出售金融资产公允价值变动损益|||-34,549,185.00
（3）外币财务报表折算差额||6,331,295.55|14,115,321.47
（二）归属于少数股东的其他综合收益的税后净额|||1,051.08
七、综合收益总额||389,280,747.75|1,007,926,637.84
（一）归属于母公司股东的综合收益总额||379,904,088.40|996,276,849.89
（二）归属于少数股东的综合收益总额||9,376,659.35|11,649,787.95
八、每股收益：|||
（一）基本每股收益（元/股）|六、54|0.38|1.14
（二）稀释每股收益（元/股）|六、54|0.38|1.14
