page|85
项目|附注|2021 年度|2020 年度
一、营业总收入||4,761,367,450.23|3,937,297,486.13
其中：营业收入|七、61|4,761,367,450.23|3,937,297,486.13
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||4,422,500,215.13|3,863,768,430.28
其中：营业成本|七、61|3,481,019,086.34|3,004,972,754.26
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|105,538,231.48|85,333,697.31
销售费用|七、63|389,398,085.72|377,877,259.30
管理费用|七、64|285,699,780.62|278,970,194.06
page|86
研发费用|七、65|115,736,761.43|58,891,527.93
财务费用|七、66|45,108,269.54|57,722,997.42
其中：利息费用||48,887,529.38|63,856,120.61
利息收入||9,789,288.98|13,584,594.26
加：其他收益|七、67|100,103,289.02|111,093,235.24
投资收益（损失以“－”号填列）|七、68|10,878,788.80|4,248,891.11
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|272,738.93|-
信用减值损失（损失以“-”号填列）|七、71|-5,430,461.40|1,518,470.20
资产减值损失（损失以“-”号填列）|七、72|-18,283,382.80|-2,181,007.55
资产处置收益（损失以“－”号填列）|七、73|1,447,024.77|4,354,287.89
三、营业利润（亏损以“－”号填列）||427,855,232.42|192,562,932.74
加：营业外收入|七、74|7,017,566.65|4,714,912.00
减：营业外支出|七、75|19,096,249.89|5,526,672.65
四、利润总额（亏损总额以“－”号填列）||415,776,549.18|191,751,172.09
减：所得税费用|七、76|74,787,402.26|39,723,640.89
五、净利润（净亏损以“－”号填列）||340,989,146.92|152,027,531.20
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||340,989,146.92|152,027,531.20
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||334,309,183.72|148,357,618.47
2.少数股东损益（净亏损以“-”号填列）||6,679,963.20|3,669,912.73
六、其他综合收益的税后净额|七、77|-626,740.06|-646,286.32
（一）归属母公司所有者的其他综合收益的税后净额||-626,740.06|-646,286.32
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
page|87
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-626,740.06|-646,286.32
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-626,740.06|-646,286.32
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||340,362,406.86|151,381,244.88
（一）归属于母公司所有者的综合收益总额||333,682,443.66|147,711,332.15
（二）归属于少数股东的综合收益总额||6,679,963.20|3,669,912.73
八、每股收益：|||
（一）基本每股收益(元/股)|十八、2|0.4317|0.1916
（二）稀释每股收益(元/股)||0.4317|0.1916
