page|102
资 产|附注六|期末余额|期初余额|上期期末余额
流动资产：||||
货币资金|注释1|1,143,265,427.04|767,259,028.72|767,259,028.72
以公允价值计量且其变动计入当期损益的金融资产||-|-|-
交易性金融资产|注释2|121,065,030.23|295,427,611.30|295,427,611.30
衍生金融资产||-|-|-
应收票据||-|-|-
应收账款|注释3|707,319,813.04|850,307,039.46|870,041,706.95
应收款项融资|注释4|1,000,000.00|1,715,710.88|1,715,710.88
预付款项|注释5|69,883,542.09|22,632,102.26|22,632,102.26
其他应收款|注释6|103,135,805.35|110,985,170.37|110,985,170.37
存货|注释7|343,652,296.17|153,611,288.44|302,944,444.94
合同资产|注释8|22,765,458.54|169,067,823.99|-
持有待售资产||-|-|-
一年内到期的非流动资产|注释9|40,301,738.10|44,702,598.30|44,702,598.30
其他流动资产|注释10|58,728,170.57|67,027,049.37|67,027,049.37
流动资产合计||2,611,117,281.13|2,482,735,423.09|2,482,735,423.09
非流动资产：||||
可供出售金融资产||-|-|-
持有至到期投资||-|-|-
债权投资||-|-|-
其他债权投资||-|-|-
长期应收款|注释11|-|40,301,738.09|40,301,738.09
长期股权投资|注释12|231,979,243.62|17,099,475.13|17,099,475.13
其他权益工具投资||-|-|-
其他非流动金融资产||-|-|-
投资性房地产|注释13|588,566,391.17|255,479,447.30|255,479,447.30
固定资产|注释14|340,167,556.78|265,258,430.96|265,258,430.96
在建工程|注释15|444,969,854.02|722,502,266.69|722,502,266.69
生产性生物资产||-|-|-
油气资产||-|-|-
使用权资产||-|-|-
无形资产|注释16|217,223,115.83|233,609,247.93|233,609,247.93
开发支出||-|-|-
商誉|注释17|68,560,110.26|149,436,106.47|149,436,106.47
长期待摊费用|注释18|13,537,608.08|7,353,815.84|7,353,815.84
递延所得税资产|注释19|86,089,926.44|76,553,765.44|76,553,765.44
其他非流动资产|注释20|459,099,074.87|469,686,612.53|469,686,612.53
非流动资产合计||2,450,192,881.07|2,237,280,906.38|2,237,280,906.38
资产总计||5,061,310,162.20|4,720,016,329.47|4,720,016,329.47
page|103
|合并资产负债表（续）|||
|2020年12月31日|||
编制单位：深圳市尚荣医疗股份有限公司|||（除特别注明外，金额单位均为人民币元）|
负债和股东权益|附注六|期末余额|期初余额|上期期末余额
流动负债：||||
短期借款|注释21|138,900,000.00|74,134,080.00|74,134,080.00
以公允价值计量且其变动计入当期损益的金融负债||-|-|-
交易性金融负债||-|-|-
衍生金融负债||-|-|-
应付票据|注释22|25,702,841.08|3,724,142.00|3,724,142.00
应付账款|注释23|441,205,739.48|637,535,497.34|637,535,497.34
预收款项|注释24|2,491,140.56|267,526.18|64,462,362.00
合同负债|注释25|117,441,228.41|59,911,057.84|
应付职工薪酬|注释26|68,159,521.72|23,800,793.23|23,800,793.23
应交税费|注释27|80,899,094.50|97,819,579.21|97,819,579.21
其他应付款|注释28|121,265,464.16|65,929,165.06|65,929,165.06
持有待售负债||-|-|-
一年内到期的非流动负债|注释29|39,815,420.37|34,693,873.21|34,693,873.21
其他流动负债|注释30|2,580,023.30|4,283,777.98|-
流动负债合计||1,038,460,473.58|1,002,099,492.05|1,002,099,492.05
非流动负债：||||
长期借款|注释31|123,900,000.00|120,990,000.00|120,990,000.00
应付债券|注释32|177,267,610.74|708,053,603.20|708,053,603.20
其中：优先股||-|-|-
其中：永续债||-|-|-
租赁负债||-|-|-
长期应付款||-|-|-
长期应付职工薪酬||-|-|-
预计负债||-|-|-
递延收益|注释33|76,279,432.79|72,479,487.98|72,479,487.98
递延所得税负债|注释19|-|302,280.13|302,280.13
其他非流动负债||-|-|-
非流动负债合计||377,447,043.53|901,825,371.31|901,825,371.31
负债合计||1,415,907,517.11|1,903,924,863.36|1,903,924,863.36
股东权益：||||
股本|注释34|820,272,350.00|705,967,762.00|705,967,762.00
其他权益工具|注释35|4,164,941.29|16,367,175.44|16,367,175.44
其中：优先股||-|-|-
其中：永续债||-|-|-
资本公积|注释36|1,342,145,221.26|903,413,075.85|903,413,075.85
减：库存股||-|-|-
其他综合收益|注释37|(4,761,536.98)|2,351,258.04|2,351,258.04
专项储备||-|-|-
盈余公积|注释38|47,458,535.85|43,225,536.29|43,225,536.29
未分配利润|注释39|772,058,593.95|665,298,360.23|665,298,360.23
归属于母公司股东权益合计||2,981,338,105.37|2,336,623,167.85|2,336,623,167.85
少数股东权益||664,064,539.72|479,468,298.26|479,468,298.26
股东权益合计||3,645,402,645.09|2,816,091,466.11|2,816,091,466.11
负债和股东权益总计||5,061,310,162.20|4,720,016,329.47|4,720,016,329.47
