page|69
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||25,047,200,852.00|26,317,650,498.34
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||342,918,889.38|730,375,667.71
经营活动现金流入小计||25,390,119,741.38|27,048,026,166.05
购买商品、接受劳务支付的现金||9,871,243,795.95|6,624,012,120.21
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
page|70
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||6,089,864,653.73|5,731,655,305.59
支付的各项税费||5,267,353,189.61|5,671,778,570.95
支付其他与经营活动有关的现金||1,879,825,685.99|4,560,611,519.56
经营活动现金流出小计||23,108,287,325.28|22,588,057,516.31
经营活动产生的现金流量净额||2,281,832,416.10|4,459,968,649.74
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,020,498,061.91|2,300,198,000.00
取得投资收益收到的现金||70,542,658.39|3,591,957.93
处置固定资产、无形资产和其他长期资产收回的现金净额||22,961,704.00|2,900.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,114,002,424.30|2,303,792,857.93
购建固定资产、无形资产和其他长期资产支付的现金||1,159,188,528.82|1,460,271,511.97
投资支付的现金||1,019,624,789.41|2,300,198,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||32,374,508.23
投资活动现金流出小计||2,178,813,318.23|3,792,844,020.20
投资活动产生的现金流量净额||-1,064,810,893.93|-1,489,051,162.27
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||14,597,305,495.00|8,170,504,800.00
收到其他与筹资活动有关的现金||668,505,345.67|250,010,706.48
筹资活动现金流入小计||15,265,810,840.67|8,420,515,506.48
偿还债务支付的现金||11,513,844,800.00|11,165,626,000.00
分配股利、利润或偿付利息支付的现金||1,394,905,513.41|1,343,429,128.34
其中：子公司支付给少数股东的股利、利润||722,820.00|
支付其他与筹资活动有关的现金||1,312,501,962.48|2,102,880,765.90
筹资活动现金流出小计||14,221,252,275.89|14,611,935,894.24
筹资活动产生的现金流量净额||1,044,558,564.78|-6,191,420,387.76
四、汇率变动对现金及现金等价物的影响||-20.54|20.85
五、现金及现金等价物净增加额||2,261,580,066.41|-3,220,502,879.44
加：期初现金及现金等价物余额||11,642,225,014.78|14,862,727,894.22
六、期末现金及现金等价物余额||13,903,805,081.19|11,642,225,014.78
