page|151
|2020 年度||
编制单位：广州白云山医药集团股份有限公司|||单位：人民币元
项目|附注|本年|上年
一、营业收入|附注五、（四十七）|61,673,702,450.01|64,951,777,641.83
减：营业成本|附注五、（四十七）|51,233,326,115.24|52,729,242,257.44
税金及附加|附注五、（四十八）|257,593,330.50|298,087,171.25
销售费用|附注五、（四十九）|4,575,995,568.24|5,736,793,789.43
管理费用|附注五、（五十）|1,844,423,667.84|1,978,870,482.38
研发费用|附注五、（五十一）|611,934,929.42|576,511,023.23
财务费用|附注五、（五十二）|5,151,929.67|117,117,328.52
其中：利息费用|附注五、（五十二）|336,411,783.76|374,224,115.91
利息收入|附注五、（五十二）|373,868,381.65|303,216,899.66
加：其他收益|附注五、（五十三）|327,985,438.11|430,019,889.08
投资收益（损失以“－”号填列）|附注五、（五十四）|344,170,979.46|198,458,982.24
其中：对联营企业和合营企业的投资收益|附注五、（五十四）|355,657,716.27|144,486,150.48
以摊余成本计量的金融资产终止确认收益（损失以“－”号填列）|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|附注五、（五十五）|-8,469,244.97|31,623,136.01
信用减值损失（损失以“－”号填列）|附注五、（五十六）|-115,551,971.54|-110,033,777.85
资产减值损失  （损失以“－”号填列）|附注五、（五十七）|-23,949,972.06|-11,485,403.86
资产处置收益（损失以“－”号填列）|附注五、（五十八）|2,954,109.08|1,274,043.27
二、营业利润（亏损以“－”号填列）||3,672,416,247.18|4,055,012,458.47
加：营业外收入|附注五、（五十九）|157,615,896.44|109,179,829.49
减：营业外支出|附注五、（六十）|90,950,431.33|35,658,815.35
三、利润总额（亏损总额以“－”号填列）||3,739,081,712.29|4,128,533,472.61
减：所得税费用|附注五、（六十一）|647,453,872.83|687,246,274.38
四、净利润（净亏损以“－”号填列）||3,091,627,839.46|3,441,287,198.23
（一）按经营持续性分类：|||
1.持续经营净利润（净亏损以“－”号填列）||3,091,627,839.46|3,441,287,198.23
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类：|||
1.归属于母公司股东的净利润（净亏损以“－”号填列）||2,915,244,576.05|3,188,884,638.91
2.少数股东损益（净亏损以“－”号填列）||176,383,263.41|252,402,559.32
五、其他综合收益的税后净额||-18,800,542.58|338,178.54
（一）归属母公司股东的其他综合收益的税后净额||-17,534,538.14|338,178.54
1.不能重分类进损益的其他综合收益||-2,453,740.55|-2,481,924.23
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|附注五、（六十二）|-2,453,740.55|-2,481,924.23
（4）企业自身信用风险公允价值变动|||
2.将重分类进损益的其他综合收益||-15,080,797.59|2,820,102.77
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|附注五、（六十二）|-5,064,017.77|
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|附注五、（六十二）|-10,016,779.82|2,820,102.77
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-1,266,004.44|
六、综合收益总额||3,072,827,296.88|3,441,625,376.77
（一）归属于母公司股东的综合收益总额||2,897,710,037.91|3,189,222,817.45
（二）归属于少数股东的综合收益总额||175,117,258.97|252,402,559.32
七、每股收益：|||
（一）基本每股收益|附注五、（六十三）|1.793|1.961
（二）稀释每股收益|附注五、（六十三）|1.793|1.961
法定代表人：    李楚源                                          主管会计工作负责人：  黎洪                            会计机构负责人：  姚智志|||
