page|86
项目|附注|2019 年度|2018 年度
一、营业总收入||907,482,934.93|863,795,749.15
其中：营业收入||907,482,934.93|863,795,749.15
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||807,178,274.31|784,266,920.18
其中：营业成本||636,280,103.27|650,387,941.10
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||2,965,148.85|2,448,434.58
销售费用||60,808,371.25|58,832,462.44
管理费用||56,558,812.55|43,498,066.94
研发费用||53,341,194.59|40,673,500.78
财务费用||-2,775,356.20|-11,573,485.66
其中：利息费用||832,164.59|160,213.82
利息收入||3,444,326.28|4,440,192.50
加：其他收益||6,701,134.58|3,671,051.74
投资收益（损失以“－”号填列）||673,188.55|-1,042,000.00
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||4,127,409.50|1,072,756.50
page|87
信用减值损失（损失以“-”号填列）||-1,795,927.65|
资产减值损失（损失以“-”号填列）||-9,811,059.30|-2,445,862.97
资产处置收益（损失以“－”号填列）||-85,597.36|68,566.22
三、营业利润（亏损以“－”号填列）||100,113,808.94|80,853,340.46
加：营业外收入||3,257,586.03|5,215,453.89
减：营业外支出||2,390,825.38|1,219,152.85
四、利润总额（亏损总额以“－”号填列）||100,980,569.59|84,849,641.50
减：所得税费用||12,654,876.05|8,583,774.53
五、净利润（净亏损以“－”号填列）||88,325,693.54|76,265,866.97
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||88,325,693.54|76,265,866.97
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||95,229,510.35|74,229,825.05
2.少数股东损益（净亏损以“-”号填列）||-6,903,816.81|2,036,041.92
六、其他综合收益的税后净额||138,348.94|
（一）归属母公司所有者的其他综合收益的税后净额||81,780.37|
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||81,780.37|
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备||81,780.37|
（7）现金流量套期储备（现金流|||
page|88
量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||56,568.57|
七、综合收益总额||88,464,042.48|76,265,866.97
（一）归属于母公司所有者的综合收益总额||95,311,290.72|74,229,825.05
（二）归属于少数股东的综合收益总额||-6,847,248.24|2,036,041.92
八、每股收益：|||
（一）基本每股收益(元/股)||0.30|0.26
（二）稀释每股收益(元/股)||0.30|0.26
