page|99
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||655,458,804.71|911,082,522.77
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|注释 78|8,167,639.04|6,655,203.27
经营活动现金流入小计||663,626,443.75|917,737,726.04
购买商品、接受劳务支付的现金||199,066,109.91|265,604,676.50
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||44,069,443.31|27,249,908.39
支付的各项税费||64,523,165.52|94,169,309.13
支付其他与经营活动有关的现金|注释 78|292,720,406.83|414,475,650.47
经营活动现金流出小计||600,379,125.57|801,499,544.49
经营活动产生的现金流量净额||63,247,318.18|116,238,181.55
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||798,671.07|
处置固定资产、无形资产和其他长期资产收回的现金净额|||1,917,500.00
page|100
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|注释 78|230,000,000.00|
投资活动现金流入小计||230,798,671.07|1,917,500.00
购建固定资产、无形资产和其他长期资产支付的现金||51,707,833.39|8,010,622.73
投资支付的现金||111,900,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|注释 78|360,000,000.00|
投资活动现金流出小计||523,607,833.39|8,010,622.73
投资活动产生的现金流量净额||-292,809,162.32|-6,093,122.73
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||261,508,377.83|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||300,000,000.00|
收到其他与筹资活动有关的现金||3,000,000.00|
筹资活动现金流入小计||564,508,377.83|
偿还债务支付的现金||100,000,000.00|
分配股利、利润或偿付利息支付的现金||2,622,083.34|
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|注释 78|21,888,587.72|1,960,000.00
筹资活动现金流出小计||124,510,671.06|1,960,000.00
筹资活动产生的现金流量净额||439,997,706.77|-1,960,000.00
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||210,435,862.63|108,185,058.82
加：期初现金及现金等价物余额||239,614,879.11|131,429,820.29
六、期末现金及现金等价物余额||450,050,741.74|239,614,879.11
